time,X_NOSE,Y_NOSE,Z_NOSE,visibility_NOSE,X_LEFT_EYE_INNER,Y_LEFT_EYE_INNER,Z_LEFT_EYE_INNER,visibility_LEFT_EYE_INNER,X_LEFT_EYE,Y_LEFT_EYE,Z_LEFT_EYE,visibility_LEFT_EYE,X_LEFT_EYE_OUTER,Y_LEFT_EYE_OUTER,Z_LEFT_EYE_OUTER,visibility_LEFT_EYE_OUTER,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_RIGHT_EYE,Y_RIGHT_EYE,Z_RIGHT_EYE,visibility_RIGHT_EYE,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_LEFT_EAR,Y_LEFT_EAR,Z_LEFT_EAR,visibility_LEFT_EAR,X_RIGHT_EAR,Y_RIGHT_EAR,Z_RIGHT_EAR,visibility_RIGHT_EAR,X_MOUTH_LEFT,Y_MOUTH_LEFT,Z_MOUTH_LEFT,visibility_MOUTH_LEFT,X_MOUTH_RIGHT,Y_MOUTH_RIGHT,Z_MOUTH_RIGHT,visibility_MOUTH_RIGHT,X_LEFT_SHOULDER,Y_LEFT_SHOULDER,Z_LEFT_SHOULDER,visibility_LEFT_SHOULDER,X_RIGHT_SHOULDER,Y_RIGHT_SHOULDER,Z_RIGHT_SHOULDER,visibility_RIGHT_SHOULDER,X_LEFT_ELBOW,Y_LEFT_ELBOW,Z_LEFT_ELBOW,visibility_LEFT_ELBOW,X_RIGHT_ELBOW,Y_RIGHT_ELBOW,Z_RIGHT_ELBOW,visibility_RIGHT_ELBOW,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,visibility_LEFT_WRIST,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,visibility_RIGHT_WRIST,X_LEFT_PINKY,Y_LEFT_PINKY,Z_LEFT_PINKY,visibility_LEFT_PINKY,X_RIGHT_PINKY,Y_RIGHT_PINKY,Z_RIGHT_PINKY,visibility_RIGHT_PINKY,X_LEFT_INDEX,Y_LEFT_INDEX,Z_LEFT_INDEX,visibility_LEFT_INDEX,X_RIGHT_INDEX,Y_RIGHT_INDEX,Z_RIGHT_INDEX,visibility_RIGHT_INDEX,X_LEFT_THUMB,Y_LEFT_THUMB,Z_LEFT_THUMB,visibility_LEFT_THUMB,X_RIGHT_THUMB,Y_RIGHT_THUMB,Z_RIGHT_THUMB,visibility_RIGHT_THUMB,X_LEFT_HIP,Y_LEFT_HIP,Z_LEFT_HIP,visibility_LEFT_HIP,X_RIGHT_HIP,Y_RIGHT_HIP,Z_RIGHT_HIP,visibility_RIGHT_HIP,X_LEFT_KNEE,Y_LEFT_KNEE,Z_LEFT_KNEE,visibility_LEFT_KNEE,X_RIGHT_KNEE,Y_RIGHT_KNEE,Z_RIGHT_KNEE,visibility_RIGHT_KNEE,X_LEFT_ANKLE,Y_LEFT_ANKLE,Z_LEFT_ANKLE,visibility_LEFT_ANKLE,X_RIGHT_ANKLE,Y_RIGHT_ANKLE,Z_RIGHT_ANKLE,visibility_RIGHT_ANKLE,X_LEFT_HEEL,Y_LEFT_HEEL,Z_LEFT_HEEL,visibility_LEFT_HEEL,X_RIGHT_HEEL,Y_RIGHT_HEEL,Z_RIGHT_HEEL,visibility_RIGHT_HEEL,X_LEFT_FOOT_INDEX,Y_LEFT_FOOT_INDEX,Z_LEFT_FOOT_INDEX,visibility_LEFT_FOOT_INDEX,X_RIGHT_FOOT_INDEX,Y_RIGHT_FOOT_INDEX,Z_RIGHT_FOOT_INDEX,visibility_RIGHT_FOOT_INDEX
0,0.55161196,0.307780206,-0.504483163,0.999996662,0.56313324,0.298114896,-0.475238323,0.999987602,0.571191728,0.298498631,-0.47526142,0.999987364,0.577317595,0.299071759,-0.475271255,0.999987483,0.540627,0.297820032,-0.474970728,0.999984384,0.533071399,0.298039109,-0.474934965,0.999982595,0.525904357,0.298732489,-0.474898219,0.999981523,0.587646902,0.305051595,-0.267083198,0.999979377,0.517868638,0.305008411,-0.267691344,0.999964595,0.566409647,0.320264548,-0.423427433,0.999996185,0.538607359,0.320127487,-0.423798442,0.999994636,0.645798802,0.370919168,-0.129317343,0.999995112,0.467468739,0.366028398,-0.108261749,0.999975443,0.670319,0.452517182,-0.0365066566,0.994007587,0.431327105,0.444787025,-0.023663735,0.969561458,0.664457679,0.528162777,-0.226995602,0.991584778,0.416087031,0.520095706,-0.209950328,0.961021543,0.670076966,0.553211153,-0.289274544,0.980757833,0.407409966,0.545523822,-0.269856066,0.933437109,0.656389117,0.552576482,-0.353387833,0.982108951,0.41991204,0.543738306,-0.34301737,0.93761152,0.651015162,0.546698034,-0.25546065,0.976365685,0.425647676,0.537282228,-0.243280426,0.928546,0.59938,0.526126266,-0.00886534154,0.99988246,0.497111797,0.525214374,0.00877252128,0.999817312,0.589095592,0.652768552,-0.0441920087,0.992208064,0.503722191,0.645468533,-0.0127789564,0.988259673,0.589363635,0.76220727,0.239219755,0.992060781,0.508987725,0.755737603,0.282757849,0.987775922,0.57703495,0.774676919,0.249959931,0.875210404,0.519529462,0.767564654,0.296086222,0.847694874,0.605890572,0.801005721,-0.0133895045,0.986588299,0.484710068,0.795847476,0.0487516969,0.98324132
20.0,0.550657153,0.306260645,-0.45888418,0.999996543,0.561985,0.296908408,-0.427757114,0.999987185,0.569958389,0.297308862,-0.42779538,0.999986947,0.575871527,0.297849447,-0.427813411,0.999987066,0.539801717,0.296812057,-0.427707672,0.999983966,0.532410443,0.297045141,-0.427641,0.999982059,0.524768829,0.297608286,-0.427601486,0.999981,0.587133169,0.304465145,-0.228904039,0.999978304,0.516723871,0.304199398,-0.23205556,0.999963343,0.565640092,0.318973899,-0.383184612,0.999995828,0.537224293,0.318821758,-0.384146869,0.999994159,0.645406127,0.370858282,-0.107875288,0.999994457,0.466921687,0.365849406,-0.0980556458,0.999973834,0.670286655,0.452501386,-0.0298666675,0.993700445,0.431123823,0.445216447,-0.0241293795,0.969541371,0.664739788,0.528166234,-0.209716097,0.991392553,0.416109502,0.520194471,-0.203423873,0.960727632,0.670690775,0.55294174,-0.267762035,0.980396152,0.407414287,0.545556486,-0.261362106,0.932859659,0.656743526,0.552333593,-0.329178125,0.981757641,0.419954151,0.543923616,-0.326197565,0.936968207,0.651323,0.546234,-0.237251222,0.976002812,0.425694704,0.537526488,-0.23375228,0.927907884,0.599110246,0.526031613,-0.00598827656,0.99987644,0.49693954,0.525214612,0.00592130842,0.999813497,0.588961184,0.652290404,-0.0335270874,0.991685569,0.504400969,0.645676792,-0.0192340016,0.988067448,0.589318216,0.761556566,0.225028753,0.991348207,0.509060502,0.75552,0.238834664,0.987226307,0.576970696,0.77441287,0.233402744,0.872730136,0.519512117,0.767158449,0.248983741,0.84269768,0.606175661,0.801169634,-0.0140487039,0.985486925,0.485847145,0.796157539,0.0135937473,0.982254446
40.0,0.550290465,0.305378228,-0.445242792,0.999996424,0.561519444,0.296212405,-0.414538234,0.999986708,0.569442213,0.296609402,-0.414580554,0.99998647,0.57516861,0.29711467,-0.414601296,0.999986589,0.53951931,0.296238214,-0.41378513,0.99998343,0.532175899,0.296510071,-0.413712978,0.999981403,0.524343789,0.297038138,-0.413679034,0.99998033,0.586963177,0.304062,-0.219115391,0.999977291,0.516180575,0.303754,-0.218682811,0.999961734,0.565397501,0.318174,-0.370865077,0.99999547,0.536754429,0.31799069,-0.370809346,0.999993682,0.645320892,0.370773643,-0.102474928,0.999994,0.46679765,0.365715176,-0.0880153552,0.999972403,0.670315206,0.452480912,-0.0261583533,0.993475497,0.430965692,0.445444405,-0.0205958206,0.969474733,0.664937139,0.528232217,-0.202161476,0.991260231,0.416092575,0.520228922,-0.191867486,0.960480809,0.670967042,0.55277729,-0.259003192,0.98018229,0.407390326,0.54556942,-0.247895107,0.932389498,0.656953514,0.552178741,-0.319341868,0.981538773,0.419955313,0.544013321,-0.311646551,0.936440587,0.651544392,0.545945525,-0.229056552,0.975787103,0.425697356,0.537657142,-0.221533552,0.927422345,0.598884642,0.526066959,-0.00585998408,0.999872,0.49665913,0.525348961,0.00579271046,0.999810517,0.588974535,0.652242124,-0.0334102958,0.991237164,0.504462481,0.64624846,-0.0191917587,0.987850726,0.589319408,0.761026323,0.222542673,0.990635335,0.50911361,0.755364716,0.241288394,0.986614883,0.576972783,0.774048626,0.231270298,0.868953049,0.51951766,0.766778171,0.25222367,0.838031232,0.606385887,0.801355124,-0.0134942839,0.984320521,0.486349314,0.796295404,0.018606402,0.981235206
60.0,0.550061822,0.305019647,-0.455430269,0.999996305,0.561287463,0.295996487,-0.425368726,0.999986231,0.56918478,0.296428114,-0.425405264,0.999986,0.57481271,0.296946019,-0.425423,0.999986112,0.539428413,0.295973837,-0.424467474,0.999982953,0.532127917,0.296260238,-0.424401492,0.999980807,0.52425307,0.296747595,-0.424370378,0.999979734,0.586916685,0.303981185,-0.228672,0.999976158,0.516028106,0.303467631,-0.227881297,0.999960423,0.56521,0.317818135,-0.380362332,0.999995112,0.536418378,0.317589194,-0.380161524,0.999993265,0.645262301,0.370706201,-0.106463872,0.999993443,0.466800958,0.36553,-0.0902171582,0.999971449,0.670430899,0.452480197,-0.0265735947,0.993297756,0.430866152,0.445475519,-0.0232159961,0.969576895,0.665144265,0.528409779,-0.198108375,0.991131902,0.415976,0.520318806,-0.193489313,0.960390925,0.671277583,0.552743793,-0.253266543,0.979949772,0.407319784,0.545668,-0.249351725,0.932113826,0.657118618,0.552138448,-0.313742459,0.9813025,0.419949889,0.544279099,-0.313993722,0.936094582,0.651704669,0.545840561,-0.224779263,0.975554466,0.425691068,0.537930727,-0.223476082,0.92713505,0.598381042,0.526115119,-0.00530474959,0.99986738,0.496311963,0.525379777,0.00523236394,0.999807835,0.588964343,0.652245522,-0.0300816707,0.990772486,0.504528165,0.646488428,-0.019192256,0.987670958,0.58928889,0.760803759,0.219368339,0.989943,0.509125113,0.755313,0.236496836,0.986041,0.576929927,0.773937881,0.227525041,0.865236,0.519517243,0.766674221,0.246949911,0.833707929,0.606561,0.801535904,-0.0138060525,0.983191311,0.486619502,0.796431243,0.0150815416,0.980287731
80.0,0.549984038,0.304750353,-0.454751372,0.999996185,0.561195731,0.29577291,-0.424624324,0.999985874,0.569054842,0.296209306,-0.424657583,0.999985635,0.574622929,0.296725422,-0.424673766,0.999985754,0.539406061,0.295776457,-0.423807919,0.999982595,0.532120466,0.29608804,-0.423741072,0.99998039,0.524236679,0.296563148,-0.423709869,0.999979317,0.586899102,0.303860962,-0.228084594,0.999975324,0.515940309,0.303287,-0.227493823,0.999959528,0.56515944,0.317582786,-0.37962395,0.999994874,0.536344469,0.317346215,-0.379521608,0.999992967,0.645256877,0.370672286,-0.10573297,0.999993,0.466856152,0.365372211,-0.0905103311,0.999970734,0.670486748,0.452447802,-0.0245117657,0.993112683,0.430831492,0.445449293,-0.0228890181,0.969779789,0.665290713,0.528410673,-0.196763426,0.991063595,0.41597414,0.520308614,-0.192529634,0.960543454,0.671503246,0.5525859,-0.252536625,0.979847729,0.40729183,0.545669794,-0.248233348,0.932202518,0.657259107,0.551968336,-0.31371665,0.98119,0.419950813,0.544340372,-0.31296131,0.936103702,0.651845157,0.545609474,-0.223774418,0.975448966,0.425696701,0.537981093,-0.222450212,0.927223265,0.598355591,0.526107073,-0.00517043471,0.999863863,0.496313244,0.525396883,0.00509838806,0.999806583,0.588965178,0.652202189,-0.0294891875,0.990401924,0.504583597,0.646602392,-0.019220151,0.987476647,0.589229465,0.760703087,0.218957022,0.989342511,0.509134531,0.755305231,0.23734352,0.985542774,0.576884091,0.77391994,0.22715722,0.861611366,0.519533336,0.766664267,0.247823194,0.829900801,0.606634498,0.80170083,-0.0141329588,0.98224628,0.486659229,0.79655844,0.0144971991,0.979492843
100.0,0.549941361,0.304600596,-0.411596864,0.999996066,0.561152935,0.295628756,-0.380670398,0.999985516,0.568993866,0.296071649,-0.380714118,0.999985278,0.574513197,0.296590298,-0.380731404,0.999985397,0.539399803,0.2956267,-0.379598439,0.999982238,0.532120228,0.295948237,-0.379523695,0.999979913,0.524237335,0.296406329,-0.379491538,0.9999789,0.586898685,0.303792119,-0.187621921,0.999974549,0.515897214,0.303150028,-0.185656264,0.999958634,0.565130472,0.317450345,-0.338257492,0.999994576,0.536298811,0.317173481,-0.337730706,0.999992669,0.645284712,0.37056759,-0.0779,0.999992728,0.466874033,0.365309238,-0.0601627976,0.99997,0.670599341,0.452213436,-0.0116050355,0.992935121,0.430788696,0.44545123,-0.00104325055,0.969957292,0.665396035,0.528213203,-0.191635534,0.991073549,0.415994316,0.520269692,-0.171515167,0.960849524,0.671642721,0.552207708,-0.249534801,0.979934692,0.40729174,0.545583665,-0.227888972,0.932574391,0.657360852,0.55156666,-0.309213459,0.981251,0.419978976,0.544304609,-0.291126341,0.936401188,0.651935756,0.545134246,-0.218407929,0.975545287,0.425739288,0.537969053,-0.201002523,0.927633464,0.598355532,0.526135266,-0.00515349861,0.999861777,0.496308565,0.525490463,0.00508484337,0.999806464,0.58897084,0.652178764,-0.0296495967,0.990089893,0.504590809,0.646700561,-0.0212897621,0.987278283,0.589128554,0.760546327,0.215127543,0.988763273,0.509161353,0.755294,0.233731,0.985068738,0.57682395,0.773833334,0.223594964,0.858506203,0.519547105,0.766657,0.244249046,0.826337099,0.606705666,0.801786244,-0.0151147526,0.981331408,0.486709416,0.796763241,0.0128202196,0.978693545
120.0,0.549910963,0.304484397,-0.412852824,0.999996,0.561118424,0.295515209,-0.381992072,0.999985218,0.56894666,0.295965493,-0.382034332,0.999985,0.574432,0.296487778,-0.38205117,0.999985099,0.539393246,0.295505017,-0.38098973,0.99998194,0.532119751,0.295830131,-0.380916953,0.999979556,0.524237394,0.296272218,-0.380884022,0.999978542,0.586898446,0.303738654,-0.188255131,0.999973834,0.515862882,0.303040028,-0.186617211,0.99995786,0.565109313,0.317351341,-0.339179099,0.999994338,0.53626442,0.317043275,-0.338754445,0.999992371,0.64530468,0.370496124,-0.077468738,0.99999249,0.466885358,0.365263,-0.0594615154,0.999969363,0.670679867,0.45204851,-0.0105531085,0.992781699,0.430752933,0.44545421,0.000966406835,0.97009176,0.665466368,0.52806896,-0.191986114,0.991069734,0.41600737,0.520245612,-0.1702746,0.961068869,0.671729505,0.55195272,-0.250359654,0.97998184,0.407290876,0.545526922,-0.226803586,0.932824075,0.657430828,0.551285,-0.309993744,0.981277227,0.419995487,0.54428196,-0.290393531,0.936585784,0.651997626,0.544812858,-0.218795806,0.975598752,0.425765127,0.5379619,-0.199905798,0.927907467,0.598355591,0.52613765,-0.00514611043,0.999859571,0.496305794,0.525531232,0.00507960608,0.999806046,0.588975966,0.652086258,-0.0301089808,0.989794135,0.504598677,0.646719933,-0.0220896974,0.987099409,0.589025,0.760395348,0.213306099,0.988232613,0.509188294,0.755246878,0.232581615,0.984643519,0.576755166,0.773740411,0.221772686,0.855749965,0.51956588,0.766620934,0.243049875,0.823248863,0.606825888,0.801826835,-0.0161804818,0.980494261,0.486708462,0.796872854,0.0119966967,0.977975965
140.0,0.549802363,0.304367721,-0.408412188,0.999995887,0.560981393,0.295429498,-0.377958357,0.999984801,0.568805456,0.295884103,-0.377996266,0.999984562,0.574289143,0.296409696,-0.378011405,0.999984682,0.539340734,0.29541868,-0.376273483,0.999981523,0.532103,0.295742065,-0.376201361,0.999979079,0.524221778,0.296174,-0.376172036,0.999978065,0.586886168,0.303695589,-0.18657954,0.999972939,0.515855968,0.302954227,-0.181826428,0.999956787,0.565048873,0.317234665,-0.335694045,0.999994099,0.536204815,0.31691274,-0.334360689,0.999992073,0.645322144,0.370480478,-0.0775801092,0.999992251,0.466954321,0.365189344,-0.0569627695,0.999968946,0.670698106,0.452035159,-0.0113532022,0.992637813,0.430639714,0.445448339,0.00190690951,0.970309913,0.665507317,0.528068781,-0.191978738,0.991077483,0.416026294,0.520246565,-0.167485058,0.961319923,0.671836436,0.551924884,-0.250214666,0.98005,0.407324433,0.545488656,-0.223487243,0.9330616,0.657524943,0.551250517,-0.309590727,0.981323838,0.420123249,0.544252098,-0.286515266,0.936748624,0.652077794,0.5447523,-0.218715355,0.975681424,0.425871462,0.537946,-0.196919009,0.92817986,0.598345935,0.526156247,-0.00515778782,0.99985832,0.496278226,0.525572479,0.00509143528,0.99980706,0.589024484,0.652035,-0.0317594782,0.989608347,0.504594,0.646731198,-0.0225234926,0.987054408,0.588965237,0.760217369,0.213590488,0.987838149,0.509190261,0.755179763,0.23425664,0.984391034,0.576607,0.773612738,0.222409353,0.853777349,0.519560754,0.766565502,0.245009363,0.821135283,0.607227802,0.801903129,-0.0161554292,0.979876637,0.486635894,0.796878517,0.0137120616,0.977507412
160.0,0.549768925,0.304269165,-0.416744649,0.999995768,0.560928524,0.295323938,-0.386559874,0.999984264,0.568746209,0.295772165,-0.386598,0.999984,0.574228764,0.296292931,-0.386612117,0.999984086,0.539315522,0.295339435,-0.385011643,0.999981,0.532095551,0.295666635,-0.384945422,0.999978423,0.524212837,0.296097636,-0.384921849,0.99997741,0.586884141,0.303599626,-0.194782048,0.999971807,0.515838325,0.302871644,-0.190589324,0.999955595,0.565044641,0.31713137,-0.343739361,0.999993801,0.53618753,0.316812038,-0.34256,0.999991715,0.645369589,0.370456427,-0.0827862322,0.999991953,0.466992587,0.365103036,-0.0631814599,0.999968588,0.670701921,0.452041239,-0.0123276319,0.992497742,0.430436015,0.445490241,0.0011738044,0.9705863,0.665558219,0.528109372,-0.193695709,0.991102695,0.416059762,0.520476043,-0.171591312,0.96163106,0.671878815,0.551915169,-0.25189814,0.980168104,0.407438129,0.545501053,-0.2282722,0.933433294,0.657577038,0.551232636,-0.311641872,0.981418729,0.42036894,0.544265509,-0.29263854,0.93702805,0.652140141,0.544729888,-0.220547169,0.975823164,0.426064879,0.537971079,-0.201720774,0.928538859,0.598422825,0.526243627,-0.00515907444,0.999856353,0.496304482,0.525700867,0.00509304646,0.999807298,0.589101434,0.652020514,-0.0320352912,0.989466846,0.504578173,0.646775782,-0.0224905722,0.987068772,0.588868797,0.760067,0.214618668,0.987460911,0.509193122,0.755108595,0.236485764,0.984193802,0.576392531,0.773494422,0.223502651,0.852154613,0.51955992,0.766515,0.247393653,0.819619179,0.607500494,0.801952064,-0.013334902,0.979306,0.486597925,0.796874225,0.0145421494,0.97713
180.0,0.54976815,0.304192901,-0.421940774,0.999995708,0.560932875,0.295268476,-0.39242065,0.999983907,0.568746507,0.295727938,-0.392452776,0.999983668,0.574226737,0.296254218,-0.392462492,0.999983728,0.539325595,0.295271963,-0.390729904,0.999980688,0.532118261,0.295597255,-0.390670806,0.999978065,0.524252653,0.296009749,-0.390659511,0.999977052,0.586918592,0.303578377,-0.204985067,0.999971,0.515837908,0.302785248,-0.201298401,0.999955,0.565055072,0.317074388,-0.351084083,0.999993563,0.536189318,0.316731244,-0.349937797,0.999991477,0.645414531,0.370452553,-0.0922063738,0.999991655,0.467000455,0.365064681,-0.0775780827,0.99996841,0.670705497,0.452040881,-0.0197890438,0.992400467,0.430348456,0.445603222,-0.0177457761,0.970913112,0.665633142,0.528145134,-0.196510866,0.991105,0.416252583,0.520689368,-0.186330378,0.961916804,0.671915412,0.551915,-0.25329867,0.98020494,0.407871068,0.545555294,-0.241955176,0.933755875,0.657644391,0.551232457,-0.313205093,0.981440544,0.420979202,0.544299483,-0.304142505,0.937259793,0.652210653,0.544725299,-0.22330457,0.975883424,0.426639497,0.538014233,-0.215289503,0.928815126,0.59846288,0.526242,-0.00490110647,0.999853849,0.49631235,0.525707662,0.0048344275,0.999806821,0.589187205,0.651900947,-0.0322614573,0.989312053,0.504562795,0.646764,-0.0223454591,0.987104058,0.588740468,0.759961307,0.215338439,0.987107396,0.509186864,0.755026937,0.236387536,0.984049678,0.576133251,0.773439348,0.224301279,0.851044357,0.519540608,0.76645118,0.247136608,0.818471253,0.607866,0.801976502,-0.0123431869,0.97879076,0.486492,0.79687047,0.015213537,0.976838708
