time,X_NOSE,Y_NOSE,Z_NOSE,visibility_NOSE,X_LEFT_EYE_INNER,Y_LEFT_EYE_INNER,Z_LEFT_EYE_INNER,visibility_LEFT_EYE_INNER,X_LEFT_EYE,Y_LEFT_EYE,Z_LEFT_EYE,visibility_LEFT_EYE,X_LEFT_EYE_OUTER,Y_LEFT_EYE_OUTER,Z_LEFT_EYE_OUTER,visibility_LEFT_EYE_OUTER,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_RIGHT_EYE,Y_RIGHT_EYE,Z_RIGHT_EYE,visibility_RIGHT_EYE,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_LEFT_EAR,Y_LEFT_EAR,Z_LEFT_EAR,visibility_LEFT_EAR,X_RIGHT_EAR,Y_RIGHT_EAR,Z_RIGHT_EAR,visibility_RIGHT_EAR,X_MOUTH_LEFT,Y_MOUTH_LEFT,Z_MOUTH_LEFT,visibility_MOUTH_LEFT,X_MOUTH_RIGHT,Y_MOUTH_RIGHT,Z_MOUTH_RIGHT,visibility_MOUTH_RIGHT,X_LEFT_SHOULDER,Y_LEFT_SHOULDER,Z_LEFT_SHOULDER,visibility_LEFT_SHOULDER,X_RIGHT_SHOULDER,Y_RIGHT_SHOULDER,Z_RIGHT_SHOULDER,visibility_RIGHT_SHOULDER,X_LEFT_ELBOW,Y_LEFT_ELBOW,Z_LEFT_ELBOW,visibility_LEFT_ELBOW,X_RIGHT_ELBOW,Y_RIGHT_ELBOW,Z_RIGHT_ELBOW,visibility_RIGHT_ELBOW,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,visibility_LEFT_WRIST,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,visibility_RIGHT_WRIST,X_LEFT_PINKY,Y_LEFT_PINKY,Z_LEFT_PINKY,visibility_LEFT_PINKY,X_RIGHT_PINKY,Y_RIGHT_PINKY,Z_RIGHT_PINKY,visibility_RIGHT_PINKY,X_LEFT_INDEX,Y_LEFT_INDEX,Z_LEFT_INDEX,visibility_LEFT_INDEX,X_RIGHT_INDEX,Y_RIGHT_INDEX,Z_RIGHT_INDEX,visibility_RIGHT_INDEX,X_LEFT_THUMB,Y_LEFT_THUMB,Z_LEFT_THUMB,visibility_LEFT_THUMB,X_RIGHT_THUMB,Y_RIGHT_THUMB,Z_RIGHT_THUMB,visibility_RIGHT_THUMB,X_LEFT_HIP,Y_LEFT_HIP,Z_LEFT_HIP,visibility_LEFT_HIP,X_RIGHT_HIP,Y_RIGHT_HIP,Z_RIGHT_HIP,visibility_RIGHT_HIP,X_LEFT_KNEE,Y_LEFT_KNEE,Z_LEFT_KNEE,visibility_LEFT_KNEE,X_RIGHT_KNEE,Y_RIGHT_KNEE,Z_RIGHT_KNEE,visibility_RIGHT_KNEE,X_LEFT_ANKLE,Y_LEFT_ANKLE,Z_LEFT_ANKLE,visibility_LEFT_ANKLE,X_RIGHT_ANKLE,Y_RIGHT_ANKLE,Z_RIGHT_ANKLE,visibility_RIGHT_ANKLE,X_LEFT_HEEL,Y_LEFT_HEEL,Z_LEFT_HEEL,visibility_LEFT_HEEL,X_RIGHT_HEEL,Y_RIGHT_HEEL,Z_RIGHT_HEEL,visibility_RIGHT_HEEL,X_LEFT_FOOT_INDEX,Y_LEFT_FOOT_INDEX,Z_LEFT_FOOT_INDEX,visibility_LEFT_FOOT_INDEX,X_RIGHT_FOOT_INDEX,Y_RIGHT_FOOT_INDEX,Z_RIGHT_FOOT_INDEX,visibility_RIGHT_FOOT_INDEX
0,0.520788133,0.372236848,-0.550942123,0.999988317,0.529521048,0.365937054,-0.521660686,0.999955893,0.536093414,0.366466045,-0.521693647,0.999954343,0.541379333,0.366908,-0.521663487,0.999953389,0.511781633,0.365776122,-0.523437,0.99994719,0.505885422,0.36623,-0.523470819,0.999944448,0.499628186,0.366861373,-0.523512542,0.999940515,0.552934051,0.373668849,-0.322452575,0.999889,0.492667317,0.374858469,-0.33259356,0.999861717,0.537063301,0.383257568,-0.474779189,0.99998641,0.510340631,0.383081734,-0.477850229,0.999983311,0.603161693,0.425317138,-0.173078164,0.999984145,0.454397202,0.431179166,-0.18713057,0.999945641,0.644449115,0.489942819,-0.0784912482,0.993059278,0.427615,0.493492901,-0.102424756,0.978319228,0.632748604,0.546292126,-0.26641196,0.986556947,0.437443107,0.548706949,-0.275613278,0.954459488,0.637875915,0.565389454,-0.322421283,0.967258036,0.435462683,0.566984594,-0.332435,0.918544829,0.626694,0.565225482,-0.377555341,0.969879925,0.447961,0.565910339,-0.388612151,0.923129,0.622345269,0.559150159,-0.290494323,0.959819913,0.451439083,0.56007576,-0.300543338,0.905252099,0.575730681,0.555295408,0.0112627828,0.999762952,0.489295125,0.558728337,-0.0113763465,0.999704421,0.567546725,0.646766543,0.0405205153,0.979600489,0.49057436,0.646770358,-0.0138521083,0.98245424,0.564305902,0.740081847,0.3702797,0.984011233,0.499918401,0.737750769,0.311473399,0.982261,0.558624208,0.749487221,0.38989529,0.867523968,0.505015,0.747144163,0.330450803,0.794835269,0.573904097,0.773158491,0.166614205,0.981629729,0.50165379,0.768384278,0.100092769,0.979366481
20.0,0.520824254,0.372257799,-0.481850863,0.999987781,0.529560387,0.366450787,-0.450083137,0.999954045,0.536107838,0.366833627,-0.450122207,0.999953091,0.5413692,0.367136151,-0.45007205,0.999951482,0.511762619,0.36643523,-0.453874409,0.999943852,0.505813062,0.366929,-0.453903139,0.999942183,0.499495655,0.367561817,-0.453955,0.99993819,0.552938819,0.373673648,-0.246367589,0.999885559,0.492482722,0.374961048,-0.265618175,0.999859571,0.537041962,0.383228153,-0.404805,0.999985754,0.510356963,0.38313061,-0.410392851,0.999982178,0.60330385,0.42528072,-0.0962120593,0.999984324,0.454620928,0.431174397,-0.136330813,0.999943137,0.644211352,0.489682287,0.0109906448,0.992890894,0.427701175,0.493523538,-0.0483186655,0.978843033,0.632753074,0.546384215,-0.17218928,0.986630082,0.437429965,0.548572779,-0.204214722,0.955854475,0.637520909,0.565645635,-0.223477215,0.967277229,0.435461342,0.566915393,-0.257402331,0.92056793,0.626672804,0.565312684,-0.281881899,0.969917178,0.447965354,0.56555295,-0.312209189,0.924961329,0.622350812,0.560009181,-0.198301688,0.95991689,0.451438248,0.559897244,-0.227957666,0.907477677,0.57623297,0.55572623,0.0125751346,0.999764502,0.489331394,0.558745,-0.0126877166,0.999704421,0.56746155,0.650509536,0.00908675604,0.978859484,0.490460098,0.648236692,-0.0159736853,0.981389701,0.563887596,0.740095079,0.325631171,0.982969701,0.499922305,0.737952411,0.304194778,0.981162429,0.558113,0.749316216,0.343817264,0.861614048,0.505034149,0.747234762,0.322532654,0.787628472,0.573034585,0.773508728,0.12108954,0.980654538,0.501505733,0.769077539,0.0968617648,0.978398263
40.0,0.520818651,0.372267455,-0.481761724,0.999987662,0.529559076,0.366737634,-0.450621843,0.999953687,0.536107123,0.367027462,-0.450655162,0.999953091,0.541339278,0.367237836,-0.45060277,0.999951065,0.511553466,0.366833836,-0.454055637,0.999942839,0.505497038,0.367378056,-0.454084933,0.999941945,0.499055356,0.368013084,-0.454128146,0.999938,0.55294311,0.373675853,-0.247848,0.999885142,0.492238134,0.375047565,-0.265659392,0.999861538,0.537018836,0.383219689,-0.404901057,0.999985516,0.510290921,0.383210182,-0.410064042,0.999981701,0.603524864,0.425306946,-0.093773,0.999984562,0.454658687,0.431149453,-0.135634527,0.999942482,0.644198298,0.489590704,0.0206674356,0.992753327,0.427720487,0.493558735,-0.0441763103,0.979286075,0.63275528,0.546372712,-0.15473929,0.986613333,0.437429726,0.548545599,-0.197109073,0.957041919,0.637231052,0.565699,-0.20427528,0.967062593,0.43548426,0.566889822,-0.249120697,0.922274947,0.626668692,0.565314591,-0.262222558,0.969735,0.448000401,0.565334916,-0.303933144,0.92648536,0.622360766,0.56020236,-0.180415958,0.959745526,0.451458246,0.55978775,-0.220612496,0.909322858,0.576312065,0.556015253,0.0145822167,0.99976778,0.489334285,0.558764815,-0.0147077311,0.99970746,0.567481458,0.651952207,0.00900346,0.977984428,0.490336776,0.648669302,-0.0163720828,0.980553508,0.563826621,0.740168691,0.315628827,0.982063651,0.49997,0.737914622,0.299029231,0.980253339,0.557784855,0.749419749,0.332699209,0.857345223,0.505171418,0.747291267,0.316865,0.782057703,0.573038161,0.773790181,0.11189995,0.97978425,0.501344323,0.769185841,0.0945577919,0.977579951
60.0,0.520824552,0.372266561,-0.464743197,0.999987304,0.529616892,0.366912216,-0.434298068,0.999952674,0.536148608,0.367164403,-0.434336185,0.999952316,0.54134196,0.367328644,-0.434295982,0.999949932,0.511543632,0.366997182,-0.437086344,0.999940932,0.505460441,0.367532939,-0.437113404,0.999940634,0.498972625,0.368154496,-0.437159926,0.999936759,0.5529809,0.373682588,-0.237392306,0.999883413,0.492200226,0.375042766,-0.252194643,0.999860883,0.537004173,0.383188844,-0.390121907,0.999985099,0.510253847,0.383213401,-0.394415528,0.999981,0.603699148,0.425336629,-0.0908720046,0.999984682,0.454879165,0.430922121,-0.125505865,0.999941289,0.644161403,0.489561617,0.0162449051,0.99259007,0.427721024,0.493491322,-0.0392971225,0.979666889,0.63275665,0.546334147,-0.162703589,0.986673117,0.43738994,0.548142493,-0.194226533,0.958309352,0.636958122,0.565700531,-0.213283405,0.967197418,0.435473979,0.566557467,-0.246559739,0.92421025,0.626661181,0.565280616,-0.270033807,0.969849765,0.448001653,0.56479162,-0.299847722,0.928240895,0.622372568,0.560198843,-0.187856,0.959929705,0.451458603,0.559311271,-0.217342451,0.91149056,0.576332331,0.55604583,0.014557601,0.999770224,0.489338398,0.558744192,-0.0146851074,0.999708176,0.567508698,0.651732385,-0.00353718386,0.977034688,0.48981154,0.648633599,-0.0168418046,0.979140401,0.563715518,0.740175962,0.308627695,0.980708063,0.500622869,0.737589121,0.297637701,0.978738964,0.557575583,0.74941951,0.32675454,0.849644482,0.50631249,0.747232556,0.315808147,0.773926,0.572970569,0.773812,0.110085405,0.978314042,0.500912309,0.769030929,0.0946280435,0.976112366
80.0,0.520783365,0.372267574,-0.475915581,0.999987245,0.529636323,0.367090166,-0.44542,0.999952435,0.536170661,0.367330074,-0.445458233,0.999952376,0.541343033,0.367464155,-0.445416749,0.999949515,0.511490703,0.367105693,-0.44787696,0.999940276,0.505346775,0.367619216,-0.447901309,0.999940634,0.498774111,0.368207812,-0.447940648,0.999936879,0.553000569,0.373705298,-0.247174,0.999883592,0.492105663,0.374996543,-0.260769069,0.999863386,0.536872089,0.383185238,-0.400725722,0.999985,0.509896696,0.383214265,-0.404688299,0.999980688,0.603846669,0.425407082,-0.0996184126,0.999984801,0.45490703,0.430496693,-0.128316477,0.999940753,0.644256115,0.48950848,0.0126418006,0.99254179,0.42761761,0.493319422,-0.0371699,0.980030477,0.632803798,0.546325564,-0.158481479,0.986727118,0.437269,0.547838867,-0.189302355,0.959640503,0.636637628,0.565719903,-0.206969887,0.967173159,0.435449213,0.566226244,-0.240389824,0.926214457,0.626624584,0.565273881,-0.264353245,0.969817281,0.448001713,0.564243495,-0.292891085,0.930055618,0.622373581,0.560209572,-0.183606327,0.959958136,0.451450467,0.55878067,-0.211919308,0.913691521,0.576241851,0.556358635,0.0130114518,0.999775171,0.489256114,0.558772743,-0.0131510925,0.999714196,0.567544341,0.65176487,0.000371978385,0.977014482,0.489239544,0.648729861,-0.00948346499,0.978757381,0.563707709,0.740195394,0.316551775,0.980307579,0.500785,0.737250209,0.308471918,0.978410959,0.557535648,0.749427676,0.334997922,0.847035825,0.506818116,0.747198224,0.327287048,0.772539198,0.572829247,0.773878634,0.119102165,0.977832615,0.499679238,0.769031167,0.114675008,0.975831509
100.0,0.520767272,0.372272,-0.470696837,0.999987245,0.529652953,0.36721319,-0.439902782,0.999952376,0.536194384,0.36743629,-0.439942598,0.999952614,0.541343391,0.367544591,-0.439898401,0.999949336,0.511456907,0.367209703,-0.442185551,0.999939859,0.505262673,0.367717862,-0.442206383,0.999940753,0.498618454,0.368286073,-0.442244709,0.999937177,0.553004324,0.373706132,-0.241386756,0.999884129,0.492014468,0.37497139,-0.254091233,0.999865472,0.536817372,0.383185595,-0.395515025,0.99998486,0.509706676,0.383235037,-0.399244606,0.99998045,0.603957713,0.425409168,-0.0966790766,0.99998492,0.454930723,0.43036893,-0.120687202,0.999939561,0.644264281,0.489369243,0.0147294216,0.992505133,0.427483767,0.493172973,-0.0289132036,0.980293,0.632765472,0.546321809,-0.155324176,0.98681283,0.437069237,0.547710955,-0.180600584,0.960707843,0.636232376,0.565745175,-0.203587219,0.967246354,0.435438603,0.56607151,-0.231356338,0.927775383,0.626503944,0.565272868,-0.261104435,0.969878078,0.448005408,0.563974261,-0.283824533,0.931463063,0.622316658,0.560232103,-0.180425376,0.960058689,0.451428413,0.55853641,-0.203214377,0.91539973,0.576250076,0.556600153,0.0112684323,0.999778807,0.489324659,0.558889389,-0.0114144599,0.999718726,0.56766963,0.651695848,-0.00165043445,0.977244318,0.488912046,0.649006,-0.0078365393,0.978598893,0.563707948,0.740385234,0.31314528,0.98023051,0.500994086,0.737242043,0.308984965,0.97839874,0.557535946,0.749489367,0.331285626,0.845687032,0.507237136,0.747200131,0.327666968,0.77284348,0.572310209,0.774247229,0.115090437,0.9776932,0.498943985,0.769260645,0.114219464,0.975853145
120.0,0.520753443,0.372282207,-0.468557894,0.999987066,0.529674172,0.36732626,-0.437372923,0.999951601,0.536221325,0.36754325,-0.437414199,0.999952197,0.54134655,0.367634475,-0.437369883,0.999948442,0.511437356,0.367291898,-0.439692259,0.999938548,0.505207539,0.367790788,-0.439711392,0.999940097,0.498516679,0.36833927,-0.439750522,0.99993664,0.553013325,0.37371856,-0.238285094,0.999883354,0.491950095,0.37495026,-0.251029611,0.999866068,0.536759496,0.383197218,-0.393273026,0.999984622,0.509514451,0.383263409,-0.397021323,0.99998,0.604034126,0.425411135,-0.0942622498,0.999985,0.454933673,0.430295408,-0.117292881,0.999938,0.6442765,0.489236653,0.0188348982,0.992457509,0.427360624,0.493098199,-0.0243448932,0.980469346,0.632748246,0.546302557,-0.149099693,0.986849129,0.436902016,0.547636628,-0.175355688,0.961654305,0.635997951,0.565749764,-0.196723372,0.967204869,0.435430557,0.565983653,-0.226112664,0.929170609,0.626439631,0.565261066,-0.254597485,0.96983242,0.448003292,0.563815832,-0.278313071,0.932717681,0.622291,0.56022948,-0.174309924,0.960033119,0.451373577,0.558384299,-0.197901547,0.91692549,0.576271772,0.556822479,0.0101993512,0.999782145,0.489369482,0.559059858,-0.0103493081,0.999723256,0.567799807,0.651634276,-0.00184625224,0.977702737,0.488653779,0.649203122,-0.00560622104,0.978657722,0.563699424,0.740334868,0.319748491,0.980289102,0.500994265,0.737135112,0.317054629,0.978591919,0.557522178,0.7492944,0.338197172,0.844711244,0.507262468,0.747068286,0.336310685,0.774299085,0.570664644,0.774388552,0.11975161,0.977688432,0.498308718,0.769486368,0.123309158,0.976076424
140.0,0.520710766,0.372266293,-0.466960192,0.999986768,0.529674053,0.367359728,-0.435548,0.999950409,0.536223471,0.367579252,-0.43559441,0.999951482,0.541339,0.367666274,-0.435553163,0.99994719,0.511389673,0.367318839,-0.437538415,0.999936461,0.505110443,0.367817253,-0.437552661,0.999938786,0.498371035,0.368356138,-0.437586337,0.999935389,0.553007483,0.373720914,-0.236537203,0.9998824,0.49180904,0.37493822,-0.247818932,0.999865413,0.536656737,0.383168578,-0.391821355,0.999984324,0.509281516,0.383261025,-0.395153314,0.999979317,0.604067802,0.425375,-0.0942275077,0.999985099,0.454971164,0.430146754,-0.111569174,0.999935567,0.644423187,0.489040643,0.0208264161,0.99251467,0.427006781,0.492781103,-0.0124334749,0.980516851,0.63279748,0.546220779,-0.14276655,0.986993611,0.436761558,0.547107697,-0.158745944,0.962439775,0.635994434,0.565731,-0.189298,0.96733743,0.435399324,0.565212846,-0.208267495,0.930278659,0.626424193,0.565155864,-0.247549549,0.969944298,0.447963536,0.562929451,-0.259816349,0.93368578,0.622284293,0.56010437,-0.167891607,0.960212052,0.45126605,0.557508588,-0.180966482,0.91811192,0.576440394,0.556893408,0.00850506406,0.999785066,0.489509583,0.559084058,-0.00865436811,0.999726832,0.56786257,0.651550472,0.000802496215,0.977996051,0.488656908,0.649194181,-2.77983199e-005,0.978576243,0.563674688,0.740063608,0.322487205,0.980155706,0.501009822,0.736982,0.325339496,0.978620589,0.557521641,0.74882,0.340572923,0.84294194,0.50728482,0.746919215,0.344815105,0.775086284,0.569143593,0.774411,0.123091355,0.977502,0.49818781,0.769532859,0.132274076,0.976132333
160.0,0.520657837,0.372264087,-0.453036,0.999986708,0.529663086,0.367392659,-0.421756595,0.99995023,0.536220789,0.367618,-0.421804875,0.999951541,0.541323245,0.367703289,-0.421765208,0.999947,0.511282146,0.367341042,-0.423511833,0.999936,0.504923165,0.367840201,-0.423522294,0.999938667,0.498142511,0.368369073,-0.423555791,0.999935448,0.552964,0.373725325,-0.224830538,0.999882758,0.491596252,0.374937683,-0.234879434,0.999866664,0.536551833,0.383164197,-0.378727108,0.999984264,0.509034157,0.383269638,-0.381676137,0.999979138,0.604226172,0.425372958,-0.0845977813,0.999985278,0.455063671,0.430075586,-0.102379613,0.999934375,0.644495308,0.489037722,0.0262828935,0.992501676,0.426494837,0.492506117,-0.0107801883,0.980687857,0.632836521,0.546137273,-0.141017839,0.987122536,0.436574817,0.546546221,-0.163106516,0.963284314,0.635997474,0.565673232,-0.189044014,0.96758014,0.435350031,0.564484239,-0.213938683,0.931524396,0.626420677,0.56501025,-0.246072,0.970155239,0.447952867,0.562122345,-0.265180886,0.934802413,0.622285604,0.55994,-0.165836826,0.960484266,0.451223344,0.55676949,-0.185336173,0.919472396,0.576441586,0.556982815,0.00778396148,0.999788344,0.489532292,0.559112489,-0.00793134887,0.999730051,0.567984581,0.651530147,-0.00328360731,0.978227496,0.488486916,0.649137914,-0.00125823286,0.978356957,0.563676834,0.739928603,0.319113255,0.980056107,0.500895858,0.736941695,0.323546737,0.978508234,0.557559907,0.748640835,0.337856084,0.841041207,0.507267535,0.746893823,0.34287402,0.774902642,0.568494081,0.774415851,0.122617342,0.977288961,0.497608393,0.769594431,0.12714535,0.976045549
180.0,0.520622194,0.372273773,-0.458016723,0.999986827,0.529657304,0.367429703,-0.426814377,0.999950707,0.536220431,0.367661029,-0.426857829,0.999952078,0.541311741,0.367743015,-0.426817358,0.999947369,0.511208236,0.367371082,-0.428771645,0.999936402,0.504803598,0.367872894,-0.428784,0.999939263,0.498000771,0.368390918,-0.428816944,0.999936223,0.552906513,0.373733789,-0.229405582,0.999884307,0.491451353,0.374943644,-0.240341589,0.999869525,0.536467969,0.383177727,-0.383413702,0.999984443,0.508848906,0.383315057,-0.386603445,0.999979317,0.60427016,0.425386727,-0.0868167803,0.999985635,0.455134898,0.430181891,-0.108517438,0.999934316,0.644770265,0.489062518,0.0237142537,0.992511451,0.425866842,0.492491066,-0.0198087487,0.981018364,0.632885277,0.546108127,-0.147051543,0.987329125,0.436337322,0.546157241,-0.174589023,0.964214683,0.636015713,0.565648139,-0.196262375,0.96802634,0.435348541,0.563828051,-0.22631976,0.932890892,0.626413107,0.564951062,-0.252793759,0.970551372,0.447979331,0.561086595,-0.277596951,0.936017513,0.622283757,0.559889555,-0.171724558,0.960978389,0.451221019,0.555867493,-0.196866423,0.920902669,0.576534569,0.557168663,0.00779756811,0.999793589,0.489769608,0.559301257,-0.00794434454,0.999735653,0.56816864,0.651473105,-0.00217541284,0.978387475,0.488497883,0.649136841,-0.00077981397,0.978095114,0.56366992,0.739916205,0.322022796,0.979910433,0.500882089,0.736886382,0.327465266,0.978350461,0.557553172,0.74854821,0.342416,0.839162648,0.507264316,0.746788144,0.347460955,0.774108768,0.568412781,0.774510384,0.130536214,0.97706604,0.497059911,0.769597352,0.134214625,0.975938141
