time,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,X_LEFT_THUMB_CMC,Y_LEFT_THUMB_CMC,Z_LEFT_THUMB_CMC,X_LEFT_THUMB_MCP,Y_LEFT_THUMB_MCP,Z_LEFT_THUMB_MCP,X_LEFT_THUMB_IP,Y_LEFT_THUMB_IP,Z_LEFT_THUMB_IP,X_LEFT_THUMB_TIP,Y_LEFT_THUMB_TIP,Z_LEFT_THUMB_TIP,X_LEFT_INDEX_FINGER_MCP,Y_LEFT_INDEX_FINGER_MCP,Z_LEFT_INDEX_FINGER_MCP,X_LEFT_INDEX_FINGER_PIP,Y_LEFT_INDEX_FINGER_PIP,Z_LEFT_INDEX_FINGER_PIP,X_LEFT_INDEX_FINGER_DIP,Y_LEFT_INDEX_FINGER_DIP,Z_LEFT_INDEX_FINGER_DIP,X_LEFT_INDEX_FINGER_TIP,Y_LEFT_INDEX_FINGER_TIP,Z_LEFT_INDEX_FINGER_TIP,X_LEFT_MIDDLE_FINGER_MCP,Y_LEFT_MIDDLE_FINGER_MCP,Z_LEFT_MIDDLE_FINGER_MCP,X_LEFT_MIDDLE_FINGER_PIP,Y_LEFT_MIDDLE_FINGER_PIP,Z_LEFT_MIDDLE_FINGER_PIP,X_LEFT_MIDDLE_FINGER_DIP,Y_LEFT_MIDDLE_FINGER_DIP,Z_LEFT_MIDDLE_FINGER_DIP,X_LEFT_MIDDLE_FINGER_TIP,Y_LEFT_MIDDLE_FINGER_TIP,Z_LEFT_MIDDLE_FINGER_TIP,X_LEFT_RING_FINGER_MCP,Y_LEFT_RING_FINGER_MCP,Z_LEFT_RING_FINGER_MCP,X_LEFT_RING_FINGER_PIP,Y_LEFT_RING_FINGER_PIP,Z_LEFT_RING_FINGER_PIP,X_LEFT_RING_FINGER_DIP,Y_LEFT_RING_FINGER_DIP,Z_LEFT_RING_FINGER_DIP,X_LEFT_RING_FINGER_TIP,Y_LEFT_RING_FINGER_TIP,Z_LEFT_RING_FINGER_TIP,X_LEFT_PINKY_FINGER_MCP,Y_LEFT_PINKY_FINGER_MCP,Z_LEFT_PINKY_FINGER_MCP,X_LEFT_PINKY_FINGER_PIP,Y_LEFT_PINKY_FINGER_PIP,Z_LEFT_PINKY_FINGER_PIP,X_LEFT_PINKY_FINGER_DIP,Y_LEFT_PINKY_FINGER_DIP,Z_LEFT_PINKY_FINGER_DIP,X_LEFT_PINKY_FINGER_TIP,Y_LEFT_PINKY_FINGER_TIP,Z_LEFT_PINKY_FINGER_TIP,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,X_RIGHT_THUMB_CMC,Y_RIGHT_THUMB_CMC,Z_RIGHT_THUMB_CMC,X_RIGHT_THUMB_MCP,Y_RIGHT_THUMB_MCP,Z_RIGHT_THUMB_MCP,X_RIGHT_THUMB_IP,Y_RIGHT_THUMB_IP,Z_RIGHT_THUMB_IP,X_RIGHT_THUMB_TIP,Y_RIGHT_THUMB_TIP,Z_RIGHT_THUMB_TIP,X_RIGHT_INDEX_FINGER_MCP,Y_RIGHT_INDEX_FINGER_MCP,Z_RIGHT_INDEX_FINGER_MCP,X_RIGHT_INDEX_FINGER_PIP,Y_RIGHT_INDEX_FINGER_PIP,Z_RIGHT_INDEX_FINGER_PIP,X_RIGHT_INDEX_FINGER_DIP,Y_RIGHT_INDEX_FINGER_DIP,Z_RIGHT_INDEX_FINGER_DIP,X_RIGHT_INDEX_FINGER_TIP,Y_RIGHT_INDEX_FINGER_TIP,Z_RIGHT_INDEX_FINGER_TIP,X_RIGHT_MIDDLE_FINGER_MCP,Y_RIGHT_MIDDLE_FINGER_MCP,Z_RIGHT_MIDDLE_FINGER_MCP,X_RIGHT_MIDDLE_FINGER_PIP,Y_RIGHT_MIDDLE_FINGER_PIP,Z_RIGHT_MIDDLE_FINGER_PIP,X_RIGHT_MIDDLE_FINGER_DIP,Y_RIGHT_MIDDLE_FINGER_DIP,Z_RIGHT_MIDDLE_FINGER_DIP,X_RIGHT_MIDDLE_FINGER_TIP,Y_RIGHT_MIDDLE_FINGER_TIP,Z_RIGHT_MIDDLE_FINGER_TIP,X_RIGHT_RING_FINGER_MCP,Y_RIGHT_RING_FINGER_MCP,Z_RIGHT_RING_FINGER_MCP,X_RIGHT_RING_FINGER_PIP,Y_RIGHT_RING_FINGER_PIP,Z_RIGHT_RING_FINGER_PIP,X_RIGHT_RING_FINGER_DIP,Y_RIGHT_RING_FINGER_DIP,Z_RIGHT_RING_FINGER_DIP,X_RIGHT_RING_FINGER_TIP,Y_RIGHT_RING_FINGER_TIP,Z_RIGHT_RING_FINGER_TIP,X_RIGHT_PINKY_FINGER_MCP,Y_RIGHT_PINKY_FINGER_MCP,Z_RIGHT_PINKY_FINGER_MCP,X_RIGHT_PINKY_FINGER_PIP,Y_RIGHT_PINKY_FINGER_PIP,Z_RIGHT_PINKY_FINGER_PIP,X_RIGHT_PINKY_FINGER_DIP,Y_RIGHT_PINKY_FINGER_DIP,Z_RIGHT_PINKY_FINGER_DIP,X_RIGHT_PINKY_FINGER_TIP,Y_RIGHT_PINKY_FINGER_TIP,Z_RIGHT_PINKY_FINGER_TIP
0,0.635794938,0.527328253,6.69790126e-008,0.616277754,0.531169951,-0.00426768558,0.60283339,0.538443923,-0.00645540049,0.593909323,0.546449,-0.00831465051,0.585676193,0.552326083,-0.00971617457,0.614993095,0.551268816,-0.00373743405,0.606755614,0.563320339,-0.00704264361,0.602380097,0.569789231,-0.00947621651,0.599364042,0.574971557,-0.0110382587,0.624165654,0.553731263,-0.00361330505,0.616498,0.566622,-0.00656025531,0.61181736,0.574056327,-0.00863997359,0.6085639,0.580089271,-0.0101326145,0.631639063,0.5543648,-0.00390778482,0.625594378,0.565901041,-0.00643505622,0.62199831,0.572572649,-0.0078503089,0.619241834,0.57802695,-0.00886514876,0.637547493,0.553683519,-0.00463593658,0.634329796,0.562518239,-0.00674739201,0.631882668,0.567868352,-0.00725419,0.629968524,0.572074056,-0.00733942725,0.435627759,0.52495718,1.06390301e-008,0.455960333,0.529117763,-0.00697024725,0.466685772,0.538274825,-0.00868987385,0.471720964,0.54782325,-0.0088730175,0.476883084,0.554668188,-0.00821017474,0.44777146,0.548071921,-0.00544902077,0.455979943,0.559904456,-0.00762349088,0.461708307,0.566059232,-0.00925692823,0.466229349,0.570708036,-0.0100618685,0.437973827,0.549813926,-0.00311924494,0.44510296,0.562539935,-0.00524940807,0.451780021,0.569482088,-0.00690876273,0.457638621,0.57464546,-0.00787397,0.432984382,0.550274968,-0.00134686707,0.439481258,0.561867654,-0.00430228328,0.44584018,0.568354547,-0.00603148434,0.451561809,0.573065937,-0.0065908446,0.431858897,0.550124228,-1.53433593e-005,0.436588764,0.559727192,-0.00272203702,0.441859603,0.56530112,-0.00349988788,0.447346658,0.569399953,-0.00339474482
20.0,0.636494815,0.527684629,1.16673455e-007,0.616533816,0.530855894,-0.00576224085,0.602640212,0.53828913,-0.00893512,0.593929,0.546502113,-0.0113144033,0.585352182,0.552724361,-0.0132199526,0.615891397,0.550983787,-0.00643925555,0.607774913,0.563021779,-0.0105690025,0.602764487,0.569880366,-0.0133316377,0.598996,0.57531929,-0.0150439637,0.625388324,0.5534904,-0.00573098101,0.617464721,0.565969884,-0.00923854765,0.611854196,0.573654,-0.0114302523,0.607672632,0.580005288,-0.0129167028,0.632721424,0.554166496,-0.0054667471,0.62623632,0.565637589,-0.00862162281,0.621714413,0.572776079,-0.0102839824,0.618206799,0.578624725,-0.0113284048,0.638251483,0.553491652,-0.00569884293,0.634979367,0.562349558,-0.00864653196,0.632110596,0.567901492,-0.00962550752,0.629589081,0.572439492,-0.00989046786,0.435736865,0.525658607,2.49134691e-009,0.456138879,0.529502034,-0.00717835827,0.467262238,0.538651049,-0.00918419752,0.472361594,0.548046887,-0.00967277214,0.477401465,0.554734647,-0.00927573629,0.447674364,0.547946811,-0.00668624369,0.455236971,0.559702694,-0.00955762528,0.461181521,0.565916955,-0.0114016831,0.466138095,0.57055372,-0.0122648096,0.437532961,0.549752831,-0.00449823262,0.444565058,0.562385619,-0.00719235465,0.451555759,0.569384873,-0.0087313205,0.457926899,0.574570775,-0.00950006675,0.432168156,0.550412178,-0.00287889293,0.438864231,0.562085271,-0.00636983477,0.44548437,0.568345,-0.00803426281,0.451851308,0.57277596,-0.00839731097,0.430952966,0.550502658,-0.00172579056,0.436217,0.560228527,-0.00482273055,0.441997766,0.565613508,-0.00575673673,0.448244125,0.569307327,-0.00565661723
40.0,0.636917353,0.527902126,1.33500436e-007,0.616900802,0.530856609,-0.00704338541,0.603016615,0.538087726,-0.0108816745,0.593953907,0.546286464,-0.013700841,0.585723042,0.552906871,-0.0159848332,0.616316319,0.550505936,-0.00781796779,0.60811317,0.562679529,-0.0126478579,0.602950215,0.56982559,-0.0159289241,0.599095702,0.575518072,-0.0179482494,0.626095235,0.553145468,-0.00670133764,0.617892206,0.565571487,-0.0108711189,0.612104475,0.573504508,-0.0136731397,0.607786834,0.580077767,-0.0155401053,0.633557856,0.554007173,-0.00611707056,0.626564562,0.565368652,-0.0097531369,0.621742427,0.572581172,-0.0118462443,0.617873967,0.578541338,-0.0131217595,0.638796,0.553687036,-0.00613932637,0.634841681,0.562471151,-0.00948889926,0.631677449,0.568000853,-0.0107780918,0.628858209,0.572552741,-0.0112027517,0.436379731,0.525904,-1.4029452e-009,0.456572235,0.529686451,-0.00759426178,0.466965705,0.538575172,-0.00982866064,0.471885473,0.547922969,-0.0106139798,0.476882577,0.554705143,-0.0105199507,0.446968466,0.547590733,-0.00622722786,0.454256952,0.558956087,-0.0095623387,0.460225224,0.565295041,-0.0119300401,0.465293229,0.569994807,-0.0131821316,0.436907351,0.549502432,-0.00413039373,0.443824679,0.561835051,-0.00722189294,0.450979,0.56894362,-0.00922272447,0.457504928,0.574221611,-0.0103250025,0.431708694,0.550305,-0.00275730435,0.438535094,0.561981559,-0.0067458218,0.445479423,0.568252206,-0.00870471261,0.452085197,0.57266,-0.0091850115,0.430945724,0.550523341,-0.00191504182,0.436576515,0.560243249,-0.00549548073,0.442618459,0.565708637,-0.00672814762,0.448986948,0.569496274,-0.00678370846
60.0,0.636656404,0.528391123,1.36647529e-007,0.616629899,0.531026,-0.00725665363,0.602687538,0.538238406,-0.0110250665,0.593752,0.546420395,-0.0136261629,0.585786819,0.552985311,-0.0156362299,0.616678894,0.550514221,-0.008243,0.608567595,0.562773764,-0.0128839342,0.60327512,0.569889069,-0.0159215871,0.599328935,0.575526893,-0.017736882,0.626546741,0.553175807,-0.00680065388,0.618644297,0.565701962,-0.0107890815,0.612710536,0.573561907,-0.0132718282,0.608211279,0.579975247,-0.0148591287,0.633855462,0.554127693,-0.0058671739,0.627136707,0.565476239,-0.00927777309,0.622164,0.572572649,-0.011107455,0.618065774,0.578422666,-0.0121587683,0.638647437,0.553942144,-0.00555975595,0.634522915,0.562751472,-0.00866696,0.631371319,0.568202198,-0.00976277608,0.628583431,0.572684944,-0.0100267148,0.436948,0.525811,-4.07170875e-009,0.456851423,0.529530108,-0.00701127294,0.467188686,0.538565099,-0.00885365531,0.471946567,0.547769785,-0.00935890526,0.476907432,0.554345667,-0.00902935397,0.447265416,0.547783911,-0.00526629388,0.453840733,0.558923542,-0.00837342069,0.459805042,0.565183342,-0.0108043142,0.465098232,0.569819808,-0.0121290758,0.437380314,0.549372435,-0.00341084483,0.443542838,0.561388373,-0.00614740653,0.450475156,0.568613946,-0.00817803293,0.456823468,0.574019909,-0.00938622374,0.432211787,0.549948096,-0.00228193286,0.438065469,0.561388612,-0.00601632847,0.444686592,0.567853451,-0.00814202148,0.451089501,0.57237339,-0.00880593713,0.431405544,0.550081611,-0.00164872478,0.436139107,0.559660435,-0.00510507589,0.441771,0.565361679,-0.00647610193,0.447888583,0.569338858,-0.00668722251
80.0,0.63616693,0.528687835,1.40679916e-007,0.616440833,0.53118813,-0.00785483047,0.602504373,0.538070619,-0.0120376199,0.593655288,0.546252549,-0.0149501311,0.585719287,0.552834928,-0.017304888,0.616749465,0.550592124,-0.00935108215,0.608576059,0.562847495,-0.0144248549,0.603416443,0.570009172,-0.0177129321,0.599580944,0.575682342,-0.0196522158,0.626609,0.553221285,-0.00770444702,0.618428528,0.565645516,-0.0120293349,0.612581909,0.573519707,-0.0146762356,0.608128,0.579882562,-0.0163495503,0.633873165,0.55407083,-0.00657303352,0.627028704,0.565275073,-0.0102090007,0.622160792,0.572424173,-0.0121322498,0.618171394,0.578234196,-0.013245374,0.638767958,0.553727448,-0.00610573916,0.634656847,0.562343597,-0.00942807645,0.631681204,0.56782645,-0.0106299669,0.629133761,0.572317123,-0.0109448042,0.437372923,0.526299834,5.55986091e-010,0.457447708,0.529747069,-0.00754606957,0.467339039,0.538567,-0.00965003,0.47184816,0.547746062,-0.0102890925,0.476703733,0.554460943,-0.0100479349,0.447535694,0.548023522,-0.00584613485,0.454108655,0.559192479,-0.0090100877,0.460039854,0.56524992,-0.0113832327,0.465277612,0.56969595,-0.0126045262,0.437498957,0.549621344,-0.00363543746,0.443553448,0.561536849,-0.00645788526,0.450290382,0.568662703,-0.00844928809,0.456512302,0.57399,-0.00958513,0.432287395,0.550194263,-0.00218301523,0.437926501,0.561441123,-0.00600364106,0.444341898,0.567731,-0.00817768462,0.450657457,0.572150767,-0.00883853,0.431426406,0.550386608,-0.0012450834,0.436005354,0.559860349,-0.00473215,0.441506356,0.565403461,-0.0061250017,0.447580814,0.56925267,-0.00632214826
100.0,0.636476398,0.528740942,1.39000434e-007,0.61672765,0.531305313,-0.00725864153,0.602719188,0.538189352,-0.0112553509,0.593814552,0.546379507,-0.0140605271,0.585939169,0.552905679,-0.0163375959,0.616959,0.550167799,-0.00935039297,0.608689,0.562622,-0.0144029828,0.603492558,0.569830775,-0.0175224356,0.599664211,0.575504303,-0.0193064194,0.626838923,0.552694142,-0.00797304232,0.618553579,0.56542927,-0.0124194892,0.61271143,0.573393703,-0.0149882911,0.60830766,0.57986784,-0.0165541358,0.634014726,0.553561747,-0.00702175777,0.627058625,0.564989328,-0.0107471012,0.622092485,0.572301149,-0.0126372892,0.618044138,0.578245759,-0.0136718592,0.638792276,0.553262591,-0.00665934337,0.634414673,0.562189281,-0.00999074709,0.631322265,0.567803204,-0.0111242477,0.628735125,0.572362423,-0.0113625061,0.437595099,0.526326656,-4.28886393e-009,0.457472563,0.529876173,-0.00722067058,0.467381448,0.53873688,-0.00926994625,0.472079,0.547778904,-0.0099516781,0.477074087,0.55434835,-0.00980288628,0.447192967,0.548148394,-0.00555093,0.453776658,0.559137106,-0.00888071302,0.459867209,0.565208077,-0.0114646181,0.465281904,0.569615364,-0.0128308,0.437361509,0.549730957,-0.00360729988,0.443481088,0.56150347,-0.00658480404,0.450336754,0.56862253,-0.00876997784,0.45666343,0.573996067,-0.0100265434,0.432222068,0.550307393,-0.00240841275,0.438021541,0.561516821,-0.00635807216,0.444491774,0.567908823,-0.00862469897,0.45083347,0.572438538,-0.00933632813,0.431359,0.550468,-0.00169942807,0.436076671,0.55991751,-0.00529893581,0.441626966,0.565527737,-0.00671181548,0.447687715,0.569444954,-0.00690575643
120.0,0.63625747,0.52873826,1.40435588e-007,0.616610765,0.531236708,-0.00739128143,0.602750301,0.538202763,-0.0115033332,0.593828678,0.546374738,-0.01437853,0.58584547,0.552847683,-0.0167269874,0.616973758,0.550098,-0.00983391,0.608714461,0.56261462,-0.0150157139,0.603438318,0.569839358,-0.0181459766,0.599506676,0.575490236,-0.0199131276,0.626825035,0.552590549,-0.00839470793,0.618561566,0.565402389,-0.0129670398,0.612627804,0.57337743,-0.0155327395,0.608089685,0.579813421,-0.0170771815,0.633990109,0.55346173,-0.00736431219,0.62701571,0.564940751,-0.0111650052,0.622024477,0.572277188,-0.0130769806,0.617919803,0.57822293,-0.0141208237,0.638742924,0.553171694,-0.00692259148,0.634416461,0.562097132,-0.010367604,0.63141,0.567754507,-0.0115993693,0.628933728,0.572369933,-0.0118919453,0.437583923,0.526481152,-4.76979301e-009,0.457502455,0.530010402,-0.00727161486,0.467349231,0.53880322,-0.00935618,0.472047955,0.547802567,-0.0100583239,0.477131426,0.554356337,-0.00991999,0.447224319,0.548305,-0.00556702958,0.453875244,0.559281647,-0.00884557888,0.460016906,0.565268457,-0.0114181796,0.465364933,0.569588244,-0.0127772596,0.437434733,0.549829841,-0.00356155494,0.443641305,0.561572731,-0.00645523239,0.450447172,0.568673491,-0.00861309,0.456641197,0.57404536,-0.00987406541,0.43232435,0.550345063,-0.00230590394,0.4380835,0.561508834,-0.00617736764,0.444469512,0.567882359,-0.00844818,0.450716019,0.572419107,-0.00919162668,0.431422859,0.550477743,-0.00154217181,0.436116457,0.559875548,-0.0050832103,0.44159472,0.565458953,-0.00648988411,0.447564274,0.569363058,-0.00669694319
140.0,0.636989892,0.5289644,1.41930954e-007,0.617272496,0.531183,-0.00776775228,0.603019953,0.538246,-0.0118313851,0.593798816,0.546409249,-0.0145753399,0.585871875,0.552935421,-0.0167452805,0.617329776,0.550481737,-0.00951633,0.60876,0.562723517,-0.0145550929,0.603419244,0.569877803,-0.0177405588,0.599508822,0.575519621,-0.0195995178,0.627136469,0.553078651,-0.00781597197,0.618741393,0.565587401,-0.0122945169,0.612700522,0.573426306,-0.0149561604,0.608053148,0.579821289,-0.0165838785,0.634242892,0.553977311,-0.00657777628,0.627157927,0.565230668,-0.0103948023,0.621985793,0.572413802,-0.0123655712,0.617725432,0.578289092,-0.0134456139,0.638901532,0.553674877,-0.00596850179,0.634345233,0.56243372,-0.00944845285,0.631295264,0.567942917,-0.0107088685,0.628791153,0.572476208,-0.0110168187,0.437820971,0.52664572,-2.93370861e-009,0.457624167,0.530123651,-0.00726564275,0.467369854,0.538815916,-0.00948189851,0.471916705,0.547835946,-0.0103184395,0.477104366,0.554369032,-0.0103813885,0.447761923,0.548050284,-0.00612845318,0.453903258,0.558969,-0.0095957173,0.459896088,0.565114081,-0.0122105777,0.46530354,0.569617689,-0.0136065,0.437788248,0.549596369,-0.00423998944,0.443636864,0.56140548,-0.00728256768,0.450473547,0.568656504,-0.00942608155,0.456694454,0.574076235,-0.0106991027,0.432429492,0.550088882,-0.00306860148,0.437905,0.561329663,-0.00703177927,0.444431543,0.567796767,-0.00928026345,0.450764656,0.572308362,-0.0100141037,0.431261629,0.550191045,-0.00238841143,0.435637981,0.55964762,-0.0060321,0.44122085,0.565353811,-0.00752060907,0.447295487,0.569308519,-0.00779149821
160.0,0.635951459,0.528824329,1.40812517e-007,0.616749883,0.531287193,-0.00771807646,0.603054106,0.538270772,-0.0119068092,0.594007969,0.546358109,-0.0148906019,0.585850775,0.552871168,-0.0173007939,0.616966426,0.550606,-0.00898352,0.608548343,0.562654316,-0.0141289569,0.603330374,0.569792926,-0.0174766704,0.599431872,0.575409353,-0.0194863435,0.62660414,0.553114,-0.00747108599,0.61839503,0.565498292,-0.0120763863,0.612515271,0.573350966,-0.0149143208,0.60791111,0.579782367,-0.0166964941,0.633732378,0.553900898,-0.00648649363,0.626674056,0.565177739,-0.0105153928,0.621674538,0.572385132,-0.0126455305,0.61752,0.578285217,-0.0138312271,0.638468921,0.553492,-0.00613192655,0.634048402,0.562190831,-0.00982101,0.631077528,0.567799032,-0.0112567563,0.628603756,0.572450697,-0.0117000211,0.437767625,0.5268296,-2.73213274e-009,0.457627505,0.530123174,-0.00738466904,0.467348665,0.538749635,-0.009709673,0.471786618,0.54777962,-0.0105949389,0.477015644,0.554381073,-0.0107301436,0.447660893,0.548385262,-0.0065031983,0.453948081,0.559263766,-0.010022697,0.460052043,0.565248966,-0.0126807922,0.465439469,0.569644511,-0.0140757021,0.437615722,0.549800932,-0.00452116132,0.443742096,0.561511874,-0.0075889295,0.450539798,0.568706095,-0.00972499512,0.45670715,0.574153662,-0.0109810969,0.432240725,0.550146699,-0.00324564567,0.437925607,0.561286747,-0.00720630819,0.444486558,0.567816257,-0.00948910229,0.450865597,0.572452,-0.0102495039,0.431036741,0.550132453,-0.00245589344,0.435664713,0.559570611,-0.00611477392,0.441301823,0.565295,-0.00762503,0.447450578,0.569281638,-0.00790155
180.0,0.636418879,0.529287159,1.37825495e-007,0.616574109,0.531401694,-0.0076371748,0.60261327,0.538476944,-0.011376828,0.593778133,0.546704471,-0.013922167,0.585769832,0.553065538,-0.0159115028,0.616370738,0.551019788,-0.00808885135,0.608494818,0.562657535,-0.0127820522,0.603548467,0.569740772,-0.0160299577,0.599868,0.575351059,-0.0180608053,0.626154542,0.553592861,-0.00653573,0.618248045,0.565655828,-0.0106576467,0.61258626,0.573482037,-0.0134016573,0.608197272,0.579921246,-0.0151806846,0.633472085,0.554371059,-0.005545408,0.626674771,0.565362811,-0.00924822409,0.621884584,0.572460234,-0.0112723252,0.617875457,0.578317761,-0.0124103818,0.63852632,0.553988099,-0.00521278242,0.634151,0.562595487,-0.00859674811,0.631067336,0.568051934,-0.00984654762,0.628296852,0.572556436,-0.0102029648,0.437505752,0.527083695,-3.90562915e-009,0.45766297,0.530166686,-0.00761245051,0.467228234,0.538723469,-0.0100214323,0.471694261,0.547775507,-0.0108722355,0.477033854,0.554298103,-0.010952807,0.447269857,0.548268259,-0.0073834029,0.454372972,0.559584856,-0.010652733,0.460648477,0.565617204,-0.0128912069,0.465740263,0.569999754,-0.0139856394,0.436953127,0.549703777,-0.00508594699,0.443983257,0.561777055,-0.00796640664,0.451030582,0.568832278,-0.00972682238,0.456987292,0.57411,-0.010692602,0.431468248,0.550067425,-0.00341905816,0.437930495,0.56143415,-0.00715799583,0.444761872,0.567768574,-0.00915977918,0.451036304,0.572232544,-0.00975547452,0.430277556,0.55008167,-0.00222703535,0.435636,0.559546411,-0.00568236411,0.441518813,0.56504792,-0.00699372822,0.447666645,0.568847358,-0.00713682035
