time,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,X_LEFT_THUMB_CMC,Y_LEFT_THUMB_CMC,Z_LEFT_THUMB_CMC,X_LEFT_THUMB_MCP,Y_LEFT_THUMB_MCP,Z_LEFT_THUMB_MCP,X_LEFT_THUMB_IP,Y_LEFT_THUMB_IP,Z_LEFT_THUMB_IP,X_LEFT_THUMB_TIP,Y_LEFT_THUMB_TIP,Z_LEFT_THUMB_TIP,X_LEFT_INDEX_FINGER_MCP,Y_LEFT_INDEX_FINGER_MCP,Z_LEFT_INDEX_FINGER_MCP,X_LEFT_INDEX_FINGER_PIP,Y_LEFT_INDEX_FINGER_PIP,Z_LEFT_INDEX_FINGER_PIP,X_LEFT_INDEX_FINGER_DIP,Y_LEFT_INDEX_FINGER_DIP,Z_LEFT_INDEX_FINGER_DIP,X_LEFT_INDEX_FINGER_TIP,Y_LEFT_INDEX_FINGER_TIP,Z_LEFT_INDEX_FINGER_TIP,X_LEFT_MIDDLE_FINGER_MCP,Y_LEFT_MIDDLE_FINGER_MCP,Z_LEFT_MIDDLE_FINGER_MCP,X_LEFT_MIDDLE_FINGER_PIP,Y_LEFT_MIDDLE_FINGER_PIP,Z_LEFT_MIDDLE_FINGER_PIP,X_LEFT_MIDDLE_FINGER_DIP,Y_LEFT_MIDDLE_FINGER_DIP,Z_LEFT_MIDDLE_FINGER_DIP,X_LEFT_MIDDLE_FINGER_TIP,Y_LEFT_MIDDLE_FINGER_TIP,Z_LEFT_MIDDLE_FINGER_TIP,X_LEFT_RING_FINGER_MCP,Y_LEFT_RING_FINGER_MCP,Z_LEFT_RING_FINGER_MCP,X_LEFT_RING_FINGER_PIP,Y_LEFT_RING_FINGER_PIP,Z_LEFT_RING_FINGER_PIP,X_LEFT_RING_FINGER_DIP,Y_LEFT_RING_FINGER_DIP,Z_LEFT_RING_FINGER_DIP,X_LEFT_RING_FINGER_TIP,Y_LEFT_RING_FINGER_TIP,Z_LEFT_RING_FINGER_TIP,X_LEFT_PINKY_FINGER_MCP,Y_LEFT_PINKY_FINGER_MCP,Z_LEFT_PINKY_FINGER_MCP,X_LEFT_PINKY_FINGER_PIP,Y_LEFT_PINKY_FINGER_PIP,Z_LEFT_PINKY_FINGER_PIP,X_LEFT_PINKY_FINGER_DIP,Y_LEFT_PINKY_FINGER_DIP,Z_LEFT_PINKY_FINGER_DIP,X_LEFT_PINKY_FINGER_TIP,Y_LEFT_PINKY_FINGER_TIP,Z_LEFT_PINKY_FINGER_TIP,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,X_RIGHT_THUMB_CMC,Y_RIGHT_THUMB_CMC,Z_RIGHT_THUMB_CMC,X_RIGHT_THUMB_MCP,Y_RIGHT_THUMB_MCP,Z_RIGHT_THUMB_MCP,X_RIGHT_THUMB_IP,Y_RIGHT_THUMB_IP,Z_RIGHT_THUMB_IP,X_RIGHT_THUMB_TIP,Y_RIGHT_THUMB_TIP,Z_RIGHT_THUMB_TIP,X_RIGHT_INDEX_FINGER_MCP,Y_RIGHT_INDEX_FINGER_MCP,Z_RIGHT_INDEX_FINGER_MCP,X_RIGHT_INDEX_FINGER_PIP,Y_RIGHT_INDEX_FINGER_PIP,Z_RIGHT_INDEX_FINGER_PIP,X_RIGHT_INDEX_FINGER_DIP,Y_RIGHT_INDEX_FINGER_DIP,Z_RIGHT_INDEX_FINGER_DIP,X_RIGHT_INDEX_FINGER_TIP,Y_RIGHT_INDEX_FINGER_TIP,Z_RIGHT_INDEX_FINGER_TIP,X_RIGHT_MIDDLE_FINGER_MCP,Y_RIGHT_MIDDLE_FINGER_MCP,Z_RIGHT_MIDDLE_FINGER_MCP,X_RIGHT_MIDDLE_FINGER_PIP,Y_RIGHT_MIDDLE_FINGER_PIP,Z_RIGHT_MIDDLE_FINGER_PIP,X_RIGHT_MIDDLE_FINGER_DIP,Y_RIGHT_MIDDLE_FINGER_DIP,Z_RIGHT_MIDDLE_FINGER_DIP,X_RIGHT_MIDDLE_FINGER_TIP,Y_RIGHT_MIDDLE_FINGER_TIP,Z_RIGHT_MIDDLE_FINGER_TIP,X_RIGHT_RING_FINGER_MCP,Y_RIGHT_RING_FINGER_MCP,Z_RIGHT_RING_FINGER_MCP,X_RIGHT_RING_FINGER_PIP,Y_RIGHT_RING_FINGER_PIP,Z_RIGHT_RING_FINGER_PIP,X_RIGHT_RING_FINGER_DIP,Y_RIGHT_RING_FINGER_DIP,Z_RIGHT_RING_FINGER_DIP,X_RIGHT_RING_FINGER_TIP,Y_RIGHT_RING_FINGER_TIP,Z_RIGHT_RING_FINGER_TIP,X_RIGHT_PINKY_FINGER_MCP,Y_RIGHT_PINKY_FINGER_MCP,Z_RIGHT_PINKY_FINGER_MCP,X_RIGHT_PINKY_FINGER_PIP,Y_RIGHT_PINKY_FINGER_PIP,Z_RIGHT_PINKY_FINGER_PIP,X_RIGHT_PINKY_FINGER_DIP,Y_RIGHT_PINKY_FINGER_DIP,Z_RIGHT_PINKY_FINGER_DIP,X_RIGHT_PINKY_FINGER_TIP,Y_RIGHT_PINKY_FINGER_TIP,Z_RIGHT_PINKY_FINGER_TIP
0,0.668675363,0.498794049,7.83275578e-009,0.652757525,0.49816215,0.00213631638,0.637381673,0.50064528,0.00142462796,0.626373053,0.504478037,0.000302632718,0.620043516,0.508346856,-0.00148260081,0.633348,0.49918732,-0.00541616976,0.61945653,0.499547184,-0.00986311864,0.610696375,0.501472056,-0.0127469609,0.603993058,0.503809214,-0.0147061078,0.636971474,0.50165838,-0.00922554266,0.620334446,0.506655693,-0.0131181777,0.611600876,0.512033761,-0.015217958,0.605817318,0.517045438,-0.016915109,0.643613219,0.505126059,-0.0125747807,0.627545297,0.510350347,-0.0166323092,0.618758321,0.515326142,-0.0187978819,0.612390935,0.51954937,-0.0202635415,0.652146697,0.509078741,-0.015378572,0.641928196,0.514660954,-0.0198455043,0.635382712,0.518995285,-0.0214943048,0.630203068,0.522840202,-0.0223200209,0.387796611,0.503618896,6.98372631e-008,0.406599075,0.503138959,0.001485885,0.423457056,0.503355384,0.000853660458,0.435557783,0.506014884,-0.000779996277,0.44390893,0.508752823,-0.00222380273,0.424529612,0.49921298,-0.00184739986,0.439879149,0.496707678,-0.00711022038,0.449896365,0.497559309,-0.0101511674,0.457643956,0.498751223,-0.0117332647,0.421451688,0.50165534,-0.00552873267,0.438899308,0.504495144,-0.0105490163,0.448880166,0.509438396,-0.012575007,0.454622477,0.513793766,-0.0133705651,0.416207522,0.505499125,-0.0094677275,0.431615889,0.50864017,-0.0151073383,0.441017658,0.512548745,-0.0176189877,0.44743225,0.515716076,-0.0183657464,0.409515142,0.510553896,-0.0132180182,0.419702291,0.515824735,-0.0171017852,0.426073611,0.520231426,-0.0184279121,0.431179374,0.523997664,-0.0188672114
20.0,0.669606864,0.498530537,3.35205108e-008,0.653094888,0.498012841,0.00217856723,0.638245642,0.500146031,0.00125640258,0.627427816,0.503572881,-0.000277317071,0.620471239,0.507050514,-0.00243670517,0.634223819,0.498763442,-0.0051184115,0.620367825,0.499331,-0.00977865141,0.611297071,0.501295865,-0.0128557738,0.604097664,0.503647327,-0.0149074234,0.63762629,0.501442552,-0.00908986479,0.621273041,0.506232083,-0.0133946519,0.612130046,0.511673093,-0.0158409178,0.606022835,0.516833425,-0.017676482,0.6441046,0.504942834,-0.0126203019,0.628334939,0.509771168,-0.01689188,0.619628847,0.514786184,-0.0191941224,0.613711715,0.519156277,-0.020663565,0.652528,0.508939087,-0.0156316608,0.642264903,0.51429522,-0.0201348159,0.635504,0.518702209,-0.0219512098,0.630523562,0.52270335,-0.0228276104,0.38885349,0.505271375,1.24992525e-007,0.404797673,0.503152788,0.00142127578,0.420922816,0.50293988,0.000256823085,0.432623893,0.504541337,-0.00148950599,0.441152126,0.506041,-0.00308637647,0.423062325,0.499676347,-0.00513872178,0.438221931,0.497101158,-0.0102721937,0.44901526,0.497467399,-0.0132106105,0.45707202,0.498592198,-0.0149023412,0.420733303,0.502193928,-0.00874919444,0.438052833,0.504682839,-0.0137439035,0.448338419,0.509184897,-0.0160095412,0.454519808,0.51383,-0.0170527063,0.416339129,0.505941927,-0.0121652298,0.431589425,0.508803487,-0.0172407739,0.44076705,0.512372851,-0.0196557213,0.447101355,0.515791774,-0.0208413862,0.410848826,0.510619402,-0.0153357489,0.419766426,0.515954137,-0.0194054358,0.425623238,0.520088494,-0.0208733492,0.430327773,0.523880601,-0.0214591902
40.0,0.669276,0.4984954,3.68907358e-008,0.652811587,0.497867018,0.00209742435,0.637797713,0.499927968,0.00119020813,0.627023101,0.503509164,-0.000234541032,0.620429873,0.507114053,-0.00231655641,0.633658588,0.498768121,-0.00535931671,0.619934797,0.49937287,-0.00981948338,0.610879958,0.501367688,-0.0127840219,0.603796661,0.503797531,-0.0148258768,0.637250066,0.5013538,-0.0092859827,0.620732427,0.506497443,-0.0134637486,0.611725748,0.51202637,-0.0160071217,0.605954468,0.517226636,-0.017973382,0.643917918,0.504846275,-0.0127350735,0.62773627,0.509952247,-0.0170944259,0.618738055,0.515074253,-0.019774111,0.61256659,0.519538462,-0.0215549804,0.652496696,0.508897066,-0.0156097328,0.64210242,0.514555693,-0.0204404816,0.63541,0.519032896,-0.0225750618,0.630473375,0.523038864,-0.0236772671,0.390050232,0.504680455,1.36388564e-007,0.405591369,0.502964,0.00104710204,0.421601623,0.503213,-0.00038358543,0.433326691,0.505096316,-0.00230553164,0.441781312,0.506586,-0.00413681241,0.42408967,0.499553651,-0.0059361048,0.438913643,0.497000962,-0.0112364478,0.449780732,0.497533739,-0.014236751,0.457789123,0.498828769,-0.0160142463,0.421256542,0.502021134,-0.00957090594,0.438073754,0.504296303,-0.0151993362,0.448193699,0.508954883,-0.0178274643,0.454271883,0.51371479,-0.0190669466,0.416224509,0.505716145,-0.0130057372,0.431580573,0.508657098,-0.018821789,0.440686315,0.512442172,-0.0216741599,0.447048575,0.515964031,-0.0230780188,0.410012901,0.51018703,-0.0161533896,0.419149667,0.515762806,-0.0211111754,0.42547974,0.519932032,-0.0231688879,0.43071565,0.523640752,-0.0241066664
60.0,0.67011863,0.498599648,3.35121833e-008,0.653709829,0.497966081,0.00221051089,0.638560414,0.499884725,0.00137686415,0.627815723,0.503431857,2.47560401e-005,0.621332407,0.507099092,-0.00196555327,0.634260535,0.498571843,-0.00501837954,0.620128512,0.499333173,-0.00928699225,0.611060619,0.501366675,-0.0120293787,0.603900313,0.503741741,-0.0138846226,0.637960434,0.500994623,-0.00891119707,0.621028066,0.50627321,-0.0129631581,0.611864328,0.511894,-0.0153205069,0.605863929,0.517121792,-0.0170971826,0.644518793,0.504476368,-0.0123275537,0.627977729,0.509774804,-0.01652335,0.61882621,0.515025377,-0.0190079045,0.61254245,0.519554079,-0.0206049532,0.652847469,0.508660793,-0.0151641602,0.641954899,0.514505446,-0.0196444169,0.635111332,0.518979073,-0.0215156712,0.629980862,0.522985518,-0.0224446133,0.390642,0.504909277,1.40123845e-007,0.40635547,0.503142774,0.000705069222,0.422392368,0.503451645,-0.000982817612,0.434277803,0.505514503,-0.00307611423,0.443025827,0.507167339,-0.00509364298,0.424413264,0.499530286,-0.00655515958,0.439080536,0.496913165,-0.0121797808,0.449850947,0.497529566,-0.0154247917,0.45788306,0.498965442,-0.0173951332,0.42148304,0.502147377,-0.0101375505,0.43792063,0.504250467,-0.0159766432,0.447960198,0.508983612,-0.0187048372,0.454132318,0.513914585,-0.0201218706,0.416301906,0.50590539,-0.0135770636,0.43159008,0.508681953,-0.0196681842,0.440661281,0.512470424,-0.0225568078,0.447075397,0.516028702,-0.0240278691,0.409898818,0.510293067,-0.0167459659,0.419018507,0.515628219,-0.0219499134,0.425388277,0.519871652,-0.0240987446,0.430736572,0.523688436,-0.0251462273
80.0,0.670598507,0.498890311,3.42802942e-008,0.654022634,0.497941464,0.0021382838,0.638761103,0.499767572,0.00122794707,0.627791762,0.503281295,-0.000215310356,0.621189535,0.506948233,-0.00230728253,0.634426713,0.498606682,-0.00538928341,0.620136559,0.49919194,-0.0098398,0.61073792,0.501310706,-0.0126444334,0.603502,0.503798187,-0.0145229045,0.638097405,0.501149535,-0.00929896,0.620951772,0.506375313,-0.0135590574,0.611724794,0.512048841,-0.0159008857,0.605849087,0.517255068,-0.017624002,0.644613743,0.504692793,-0.0127260722,0.62806946,0.509863377,-0.0170062799,0.618866861,0.51512897,-0.0194456074,0.612631142,0.519595504,-0.0209897216,0.652875185,0.508857906,-0.0155935558,0.641941249,0.514542818,-0.0201080926,0.635041058,0.519015133,-0.0219968464,0.629985929,0.522971034,-0.0229108278,0.391097575,0.504669,1.40232942e-007,0.406886905,0.503176391,0.000633626827,0.423118502,0.503755271,-0.00107060641,0.435070276,0.506117046,-0.00317200879,0.443898946,0.507998,-0.00521756243,0.425093114,0.499492288,-0.00659914082,0.439336538,0.496937573,-0.0121293562,0.44992137,0.497586191,-0.015367575,0.457910836,0.499054492,-0.0173792373,0.421927392,0.502077162,-0.010149138,0.437889308,0.504143775,-0.0159002896,0.447862148,0.508964598,-0.0186416525,0.454033583,0.514011085,-0.0201251935,0.416537493,0.505847514,-0.0135590555,0.431490719,0.508593798,-0.0196261518,0.440643668,0.512293458,-0.0226037949,0.447119057,0.51577425,-0.0241778251,0.409965128,0.510274291,-0.0167017,0.41904524,0.515659153,-0.0219333526,0.425434,0.519861102,-0.0241644196,0.430791736,0.523635507,-0.025301002
100.0,0.670640409,0.498458803,3.50944767e-008,0.653847873,0.497658193,0.00220843754,0.638654113,0.499625981,0.00124643394,0.627789438,0.503290832,-0.00028318059,0.621507049,0.507140815,-0.00249390653,0.634498358,0.498551309,-0.00518999,0.620259523,0.499251455,-0.00960640796,0.610912263,0.501310766,-0.0124223568,0.603654623,0.503748536,-0.0143151069,0.638256192,0.501084447,-0.00920227543,0.62091434,0.506462753,-0.0133736413,0.611685753,0.512105227,-0.015700968,0.605766773,0.517297566,-0.0174288675,0.644879878,0.504636347,-0.0127452323,0.62789917,0.509874344,-0.0170301702,0.618545532,0.515123844,-0.0194659755,0.61226362,0.519633353,-0.0210096799,0.653238237,0.508897126,-0.0157174375,0.641900837,0.514654,-0.0202527437,0.634869397,0.51909852,-0.0220943019,0.629743397,0.523082674,-0.0229805335,0.391384095,0.504576802,1.41932674e-007,0.407224059,0.503123701,0.000519181602,0.423378944,0.50376457,-0.00123272464,0.435266018,0.506164312,-0.00334581826,0.444070458,0.507972598,-0.00540319877,0.425193965,0.499363303,-0.00684204465,0.43939504,0.496961802,-0.0124520808,0.449902713,0.49762395,-0.0157157984,0.457890421,0.499048114,-0.0177492481,0.42193079,0.501960337,-0.010332494,0.43793726,0.50425148,-0.0161591806,0.447916746,0.509119511,-0.0188798979,0.454181612,0.5141505,-0.0203544647,0.416466981,0.505755246,-0.013684893,0.431644231,0.508705199,-0.0198476706,0.440758407,0.512417078,-0.0227486379,0.447215617,0.515880823,-0.0242379308,0.409876406,0.510197401,-0.0167774912,0.419041097,0.515678585,-0.0221488141,0.425480455,0.51992929,-0.0243962109,0.430894881,0.523739457,-0.0255051367
120.0,0.670940161,0.498316526,3.61524819e-008,0.653934598,0.497611791,0.00240167417,0.638802111,0.499611229,0.00154079078,0.628190458,0.503289223,5.91008502e-005,0.6220119,0.507174492,-0.00208757212,0.634568632,0.498571873,-0.00483100628,0.620287478,0.499201357,-0.00922597479,0.611075342,0.501259208,-0.0120366523,0.60376513,0.503731728,-0.013941397,0.638232708,0.50113368,-0.00892129447,0.620938182,0.506412923,-0.0131507199,0.611655951,0.512063503,-0.0155341523,0.605595887,0.517303765,-0.0172771495,0.64483,0.504685044,-0.012546082,0.627996564,0.509960771,-0.0168861449,0.618638635,0.515159309,-0.0193877909,0.61224544,0.519612551,-0.0209390707,0.653210282,0.508890569,-0.0155839548,0.641999,0.514702916,-0.0201312974,0.634967923,0.519159198,-0.0219954234,0.629765689,0.523124456,-0.0228855107,0.391733915,0.504556417,1.42495651e-007,0.407596231,0.503017545,0.000577163941,0.423683733,0.503665507,-0.00113330525,0.435474873,0.506058395,-0.00320674712,0.444183111,0.507870436,-0.00523896934,0.425415605,0.4992823,-0.00677344715,0.439472318,0.496913195,-0.0123023046,0.449939251,0.497601151,-0.0155220618,0.457909465,0.499061048,-0.0175341945,0.422121942,0.501939833,-0.0102607049,0.438031018,0.504307449,-0.0159934554,0.448019445,0.509163082,-0.0186773669,0.454345345,0.514175177,-0.0201482866,0.416634947,0.505770683,-0.0135997478,0.431804419,0.508751094,-0.0197002143,0.440901339,0.512403965,-0.0225876458,0.447340101,0.515809059,-0.0240831263,0.410041124,0.510222197,-0.0166696385,0.419173241,0.515665352,-0.0220223628,0.425566047,0.519889891,-0.0242607594,0.430933863,0.523679733,-0.0253646709
140.0,0.671223581,0.498014331,3.69268207e-008,0.653999,0.497468024,0.0023909281,0.638844311,0.499631524,0.0015268682,0.628303289,0.503424466,5.35996296e-005,0.622183,0.507406414,-0.00205768109,0.634834766,0.498509824,-0.00484339055,0.620179892,0.499162763,-0.00924011879,0.610962391,0.501336634,-0.0119794877,0.603651404,0.503901303,-0.0138184391,0.638535798,0.501042247,-0.0088800136,0.621066332,0.506349,-0.01316771,0.611714363,0.51207757,-0.0155153368,0.605564535,0.517339,-0.0172169749,0.645069957,0.504591644,-0.0124665825,0.62814343,0.509955,-0.0168037284,0.618707,0.51518923,-0.0193383396,0.612258673,0.519632459,-0.0209039692,0.653315604,0.508804202,-0.0154681634,0.641977251,0.51466012,-0.0199833792,0.634969175,0.519168079,-0.0219042879,0.629817128,0.523180723,-0.0228434131,0.391590506,0.504486382,1.40414187e-007,0.406984717,0.502810597,0.00050920638,0.422849566,0.503189325,-0.0011784354,0.434631914,0.505290747,-0.00321023259,0.44333294,0.506962717,-0.00516952714,0.424562275,0.499317,-0.00688749086,0.439148,0.496911049,-0.0124715734,0.449803829,0.497579753,-0.0156965405,0.457822531,0.499041647,-0.0176736861,0.421568125,0.502044082,-0.0102732815,0.437789917,0.504186153,-0.0159404967,0.447978169,0.508990765,-0.0185775161,0.454307288,0.514019966,-0.0199975111,0.416421711,0.505917609,-0.0135111595,0.431833327,0.508785188,-0.0194255989,0.441017419,0.512425661,-0.0222600289,0.447426349,0.515854359,-0.0237516258,0.410150588,0.510421932,-0.0165040232,0.419149637,0.515875459,-0.0217404868,0.425593257,0.520029366,-0.0239881072,0.430954635,0.523772,-0.0251032561
160.0,0.671349883,0.497780263,3.98408169e-008,0.654029191,0.497396708,0.00247155759,0.638959706,0.499646217,0.00158858357,0.628396571,0.503390491,7.58143797e-005,0.622162402,0.507334232,-0.00207508123,0.635199606,0.498536736,-0.00493317191,0.620279789,0.499204665,-0.00933507551,0.610972404,0.501437545,-0.0120314322,0.603603184,0.504046142,-0.0138347605,0.638819754,0.501076758,-0.00901691057,0.621225834,0.506194234,-0.0133253094,0.611774683,0.511956215,-0.0156442057,0.605651259,0.517248392,-0.0173215568,0.645272553,0.504657567,-0.0126425019,0.628180444,0.509959757,-0.016967725,0.618641615,0.515261471,-0.0195318162,0.612220466,0.519736171,-0.0211340114,0.653459966,0.508901,-0.015676748,0.642061174,0.514728189,-0.0202271957,0.634991288,0.519254684,-0.0222157799,0.629852951,0.52323544,-0.0232099742,0.391783535,0.5047943,1.39834668e-007,0.406935394,0.503061473,0.000386665983,0.422911048,0.503324807,-0.00130923826,0.4348391,0.505422652,-0.00328333722,0.443679363,0.507207155,-0.00517668435,0.424680471,0.499373466,-0.00701278681,0.439196676,0.496900916,-0.0125840316,0.44986406,0.497562617,-0.0157826245,0.457832694,0.499025375,-0.0177350361,0.421622068,0.502029717,-0.010344536,0.437856317,0.504229188,-0.0160307437,0.447945625,0.5089643,-0.0186472312,0.454156369,0.51390487,-0.0200222861,0.416431546,0.505842328,-0.0135392006,0.431710511,0.508841038,-0.0195178669,0.440904289,0.5125494,-0.0224164315,0.447444618,0.516055524,-0.0239227563,0.410102367,0.51029712,-0.0164840687,0.419067562,0.515795231,-0.0217910577,0.425403714,0.520013571,-0.0240636319,0.430737168,0.523792744,-0.025172729
180.0,0.671668351,0.497633308,4.21010924e-008,0.654302895,0.497259647,0.00255899667,0.6392,0.499522924,0.0018389707,0.628772557,0.503333509,0.000467948354,0.622656465,0.507284343,-0.00150626351,0.635216892,0.498556614,-0.00434187427,0.620388925,0.499175727,-0.00855975319,0.611006737,0.501377,-0.0111923199,0.603650808,0.503976345,-0.0129520092,0.638776541,0.50105,-0.00838773232,0.621253908,0.506145239,-0.012461599,0.611883521,0.51185751,-0.0146247176,0.60594511,0.517128229,-0.0161896739,0.645169377,0.504581928,-0.0120104672,0.627998531,0.509892225,-0.0160658155,0.618578851,0.515207171,-0.0184647571,0.612325907,0.51973778,-0.0199708231,0.653304875,0.508781731,-0.0150662074,0.641949773,0.514636517,-0.0193848517,0.634901941,0.519192696,-0.0212636292,0.629742861,0.523233652,-0.022184452,0.391454965,0.504852,1.39957336e-007,0.406277597,0.502803922,0.000532274,0.422067404,0.50274688,-0.00105195912,0.433938146,0.504454792,-0.00296989549,0.44262737,0.505868554,-0.00482352404,0.424163848,0.499348491,-0.00681112101,0.438935667,0.496938497,-0.0123725608,0.449671447,0.497605324,-0.0156101519,0.457723111,0.499056518,-0.0175795183,0.421277136,0.502118587,-0.0101304892,0.437795401,0.504308879,-0.0157416537,0.447960854,0.508999169,-0.0183587,0.45432362,0.51388526,-0.0197254475,0.416261762,0.50598532,-0.0132874409,0.431836098,0.508840084,-0.0191143099,0.440945596,0.512448,-0.021865461,0.447367221,0.515867412,-0.0232837778,0.410131693,0.510455072,-0.0161958747,0.41917944,0.515904665,-0.0214397442,0.425575167,0.520002723,-0.0236322396,0.430965841,0.523690462,-0.0246550553
