time,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,X_LEFT_THUMB_CMC,Y_LEFT_THUMB_CMC,Z_LEFT_THUMB_CMC,X_LEFT_THUMB_MCP,Y_LEFT_THUMB_MCP,Z_LEFT_THUMB_MCP,X_LEFT_THUMB_IP,Y_LEFT_THUMB_IP,Z_LEFT_THUMB_IP,X_LEFT_THUMB_TIP,Y_LEFT_THUMB_TIP,Z_LEFT_THUMB_TIP,X_LEFT_INDEX_FINGER_MCP,Y_LEFT_INDEX_FINGER_MCP,Z_LEFT_INDEX_FINGER_MCP,X_LEFT_INDEX_FINGER_PIP,Y_LEFT_INDEX_FINGER_PIP,Z_LEFT_INDEX_FINGER_PIP,X_LEFT_INDEX_FINGER_DIP,Y_LEFT_INDEX_FINGER_DIP,Z_LEFT_INDEX_FINGER_DIP,X_LEFT_INDEX_FINGER_TIP,Y_LEFT_INDEX_FINGER_TIP,Z_LEFT_INDEX_FINGER_TIP,X_LEFT_MIDDLE_FINGER_MCP,Y_LEFT_MIDDLE_FINGER_MCP,Z_LEFT_MIDDLE_FINGER_MCP,X_LEFT_MIDDLE_FINGER_PIP,Y_LEFT_MIDDLE_FINGER_PIP,Z_LEFT_MIDDLE_FINGER_PIP,X_LEFT_MIDDLE_FINGER_DIP,Y_LEFT_MIDDLE_FINGER_DIP,Z_LEFT_MIDDLE_FINGER_DIP,X_LEFT_MIDDLE_FINGER_TIP,Y_LEFT_MIDDLE_FINGER_TIP,Z_LEFT_MIDDLE_FINGER_TIP,X_LEFT_RING_FINGER_MCP,Y_LEFT_RING_FINGER_MCP,Z_LEFT_RING_FINGER_MCP,X_LEFT_RING_FINGER_PIP,Y_LEFT_RING_FINGER_PIP,Z_LEFT_RING_FINGER_PIP,X_LEFT_RING_FINGER_DIP,Y_LEFT_RING_FINGER_DIP,Z_LEFT_RING_FINGER_DIP,X_LEFT_RING_FINGER_TIP,Y_LEFT_RING_FINGER_TIP,Z_LEFT_RING_FINGER_TIP,X_LEFT_PINKY_FINGER_MCP,Y_LEFT_PINKY_FINGER_MCP,Z_LEFT_PINKY_FINGER_MCP,X_LEFT_PINKY_FINGER_PIP,Y_LEFT_PINKY_FINGER_PIP,Z_LEFT_PINKY_FINGER_PIP,X_LEFT_PINKY_FINGER_DIP,Y_LEFT_PINKY_FINGER_DIP,Z_LEFT_PINKY_FINGER_DIP,X_LEFT_PINKY_FINGER_TIP,Y_LEFT_PINKY_FINGER_TIP,Z_LEFT_PINKY_FINGER_TIP,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,X_RIGHT_THUMB_CMC,Y_RIGHT_THUMB_CMC,Z_RIGHT_THUMB_CMC,X_RIGHT_THUMB_MCP,Y_RIGHT_THUMB_MCP,Z_RIGHT_THUMB_MCP,X_RIGHT_THUMB_IP,Y_RIGHT_THUMB_IP,Z_RIGHT_THUMB_IP,X_RIGHT_THUMB_TIP,Y_RIGHT_THUMB_TIP,Z_RIGHT_THUMB_TIP,X_RIGHT_INDEX_FINGER_MCP,Y_RIGHT_INDEX_FINGER_MCP,Z_RIGHT_INDEX_FINGER_MCP,X_RIGHT_INDEX_FINGER_PIP,Y_RIGHT_INDEX_FINGER_PIP,Z_RIGHT_INDEX_FINGER_PIP,X_RIGHT_INDEX_FINGER_DIP,Y_RIGHT_INDEX_FINGER_DIP,Z_RIGHT_INDEX_FINGER_DIP,X_RIGHT_INDEX_FINGER_TIP,Y_RIGHT_INDEX_FINGER_TIP,Z_RIGHT_INDEX_FINGER_TIP,X_RIGHT_MIDDLE_FINGER_MCP,Y_RIGHT_MIDDLE_FINGER_MCP,Z_RIGHT_MIDDLE_FINGER_MCP,X_RIGHT_MIDDLE_FINGER_PIP,Y_RIGHT_MIDDLE_FINGER_PIP,Z_RIGHT_MIDDLE_FINGER_PIP,X_RIGHT_MIDDLE_FINGER_DIP,Y_RIGHT_MIDDLE_FINGER_DIP,Z_RIGHT_MIDDLE_FINGER_DIP,X_RIGHT_MIDDLE_FINGER_TIP,Y_RIGHT_MIDDLE_FINGER_TIP,Z_RIGHT_MIDDLE_FINGER_TIP,X_RIGHT_RING_FINGER_MCP,Y_RIGHT_RING_FINGER_MCP,Z_RIGHT_RING_FINGER_MCP,X_RIGHT_RING_FINGER_PIP,Y_RIGHT_RING_FINGER_PIP,Z_RIGHT_RING_FINGER_PIP,X_RIGHT_RING_FINGER_DIP,Y_RIGHT_RING_FINGER_DIP,Z_RIGHT_RING_FINGER_DIP,X_RIGHT_RING_FINGER_TIP,Y_RIGHT_RING_FINGER_TIP,Z_RIGHT_RING_FINGER_TIP,X_RIGHT_PINKY_FINGER_MCP,Y_RIGHT_PINKY_FINGER_MCP,Z_RIGHT_PINKY_FINGER_MCP,X_RIGHT_PINKY_FINGER_PIP,Y_RIGHT_PINKY_FINGER_PIP,Z_RIGHT_PINKY_FINGER_PIP,X_RIGHT_PINKY_FINGER_DIP,Y_RIGHT_PINKY_FINGER_DIP,Z_RIGHT_PINKY_FINGER_DIP,X_RIGHT_PINKY_FINGER_TIP,Y_RIGHT_PINKY_FINGER_TIP,Z_RIGHT_PINKY_FINGER_TIP
0,0.685344815,0.521904,6.78222847e-008,0.66692543,0.529419959,-0.0029318782,0.661183,0.540252566,-0.00515905116,0.664886713,0.550101459,-0.00667606527,0.666471183,0.557564199,-0.00747235725,0.678361416,0.545738637,-0.00839028228,0.676982582,0.560041785,-0.012590887,0.669493437,0.561127,-0.0137304105,0.66559118,0.558473051,-0.0130439885,0.69113636,0.544819951,-0.00770474924,0.688528,0.560188055,-0.00979024917,0.679834247,0.561774135,-0.00937246718,0.675577879,0.55933553,-0.00871970598,0.700254917,0.542897403,-0.00689373631,0.697988689,0.556700826,-0.00772479968,0.689403713,0.559200346,-0.00634938246,0.684409857,0.558024526,-0.00554855447,0.706457198,0.540611804,-0.00615163473,0.704213381,0.551679492,-0.00658851,0.696981072,0.554579318,-0.0048764986,0.692505717,0.554281652,-0.00334797171,0.445828021,0.522637069,-1.02979605e-007,0.465412885,0.528198361,-0.00423910422,0.474864334,0.537433565,-0.00642742449,0.475495189,0.547683895,-0.00793795194,0.474893928,0.55554378,-0.00826042239,0.458657593,0.543733716,-0.00607823953,0.460129529,0.557672918,-0.00974877179,0.46802038,0.559619963,-0.0109110195,0.471938908,0.557718,-0.0106328633,0.446764231,0.54470253,-0.00489376765,0.451632023,0.55833745,-0.00711234706,0.460215062,0.558761239,-0.00622025505,0.463709086,0.556307316,-0.0052173,0.438785553,0.544650674,-0.00405180873,0.443568945,0.557031155,-0.00574413547,0.451695025,0.556843519,-0.00331176794,0.455078244,0.554281473,-0.00136904267,0.433586776,0.544052958,-0.00355383591,0.437624156,0.553734243,-0.00388351758,0.444370091,0.554305673,-0.00154096365,0.447641671,0.552226722,0.000458738476
20.0,0.685451448,0.521431565,5.4142351e-008,0.666883647,0.529182553,-0.00243949448,0.66107595,0.540293574,-0.00436307769,0.664813936,0.550261855,-0.00567223,0.666654885,0.557665884,-0.00627454696,0.678313136,0.545700073,-0.00811452232,0.676868856,0.559965491,-0.0120877195,0.669237196,0.561171889,-0.0129830893,0.665380895,0.558618128,-0.0121894935,0.691032648,0.544787169,-0.00771953212,0.688525796,0.56016475,-0.00975880492,0.679592311,0.561504185,-0.00922474824,0.675467074,0.558836877,-0.00847924501,0.700027525,0.54286319,-0.00710387202,0.697932065,0.556651235,-0.00789521355,0.68904388,0.558727264,-0.006264247,0.684190154,0.557082415,-0.00529193459,0.70631212,0.540517509,-0.00652059494,0.704072952,0.55156,-0.00687578414,0.696767747,0.554129779,-0.00490057468,0.692584,0.553368,-0.00317605119,0.445259,0.523277462,-7.52009655e-008,0.465101957,0.528700888,-0.00348318112,0.474003702,0.537998,-0.00533365551,0.47453329,0.548133492,-0.00657442678,0.474404514,0.555723667,-0.00667543523,0.457950711,0.543927848,-0.00596394809,0.459573686,0.557873547,-0.00963458,0.467905849,0.559678555,-0.0104842801,0.472485602,0.55817765,-0.00989637803,0.445970535,0.544787228,-0.00533271069,0.451269269,0.558396399,-0.00769656524,0.460682839,0.558209836,-0.00632353919,0.464266,0.555550396,-0.00473948661,0.438026696,0.544670343,-0.00502189947,0.443566859,0.557182074,-0.00654150918,0.451949477,0.556628823,-0.00352746784,0.455022156,0.554039478,-0.00103082031,0.433042556,0.544168711,-0.0050555612,0.437250644,0.554068506,-0.00510236,0.443895876,0.554605,-0.002417312,0.446767926,0.552652895,-8.83455141e-005
40.0,0.685946,0.521547258,4.71326054e-008,0.667058885,0.529009819,-0.00309181516,0.661459148,0.540435076,-0.00510044023,0.665411949,0.550376534,-0.00628747419,0.667521656,0.557670772,-0.00670547923,0.67861867,0.545765817,-0.0094592208,0.677626252,0.560607,-0.0134577053,0.669485092,0.561408579,-0.0142790796,0.665415466,0.558503747,-0.0134388432,0.691610754,0.544973969,-0.00858955085,0.688838661,0.560772657,-0.0103720715,0.679647386,0.561528265,-0.00963806,0.675867796,0.558376849,-0.00888656,0.700655639,0.543189585,-0.00747116,0.698097825,0.557449758,-0.00796935242,0.689013362,0.558844507,-0.00622113235,0.684585035,0.556546926,-0.00531489216,0.706840813,0.541008055,-0.006447013,0.704318464,0.552306592,-0.00681938883,0.696800649,0.5542382,-0.00501336856,0.693035841,0.552851617,-0.00350509444,0.445698649,0.523294091,-7.40828412e-008,0.465726018,0.528563559,-0.00384159386,0.474404603,0.537910879,-0.00580469891,0.474821806,0.548005223,-0.00707468344,0.475089699,0.555535555,-0.00723269954,0.457881898,0.543455,-0.00685244752,0.459882736,0.557523489,-0.0108702863,0.468261182,0.559553385,-0.011937161,0.473050952,0.558073163,-0.0114075206,0.445934862,0.54447,-0.00600494212,0.451289207,0.558289647,-0.00882732496,0.461096436,0.558747351,-0.00767865498,0.465568036,0.556254327,-0.00611174759,0.438073784,0.544535518,-0.00545206247,0.443672061,0.557117045,-0.00739847682,0.452529162,0.557141185,-0.00456840871,0.456425786,0.554799616,-0.00199094974,0.433211893,0.544111,-0.00523691392,0.437579066,0.554273605,-0.0055950582,0.44478339,0.555372357,-0.00301774684,0.448681474,0.553718925,-0.000629247457
60.0,0.685768902,0.521465898,4.61141703e-008,0.667139888,0.529138267,-0.00228247955,0.661646187,0.540661156,-0.00412975159,0.665352583,0.550654829,-0.00521136215,0.667111158,0.557958841,-0.00558830751,0.678712249,0.545877397,-0.00975923426,0.678065598,0.56065619,-0.0135706328,0.669839203,0.561604679,-0.0140366862,0.665799,0.558776081,-0.0129539799,0.691696346,0.544866741,-0.00928646605,0.689485908,0.560981631,-0.0110635851,0.679891825,0.56183058,-0.0100289825,0.675818563,0.558684528,-0.00908058416,0.700676,0.542889893,-0.00840635132,0.698302567,0.557294428,-0.00886197,0.688800395,0.558732271,-0.00685704034,0.684173882,0.55644381,-0.00581909157,0.706842482,0.540499628,-0.00751059828,0.704340279,0.55192256,-0.00767597,0.696535528,0.553884327,-0.00556915533,0.692580342,0.552455246,-0.00391302,0.445717335,0.523051262,-7.50015e-008,0.465863794,0.528325856,-0.00397473341,0.474856555,0.537774503,-0.00583505398,0.475194216,0.547881722,-0.0069986782,0.475388348,0.555389524,-0.00707758358,0.458275706,0.543184757,-0.00678285817,0.460875779,0.557329774,-0.0108517669,0.469270825,0.55930227,-0.0120042637,0.473803252,0.557691932,-0.0115523022,0.446213573,0.544198275,-0.00595999602,0.451740354,0.55821836,-0.00893020257,0.461444736,0.558673382,-0.00792056136,0.465815216,0.556111634,-0.00640630815,0.438319534,0.54423821,-0.00546433311,0.443975776,0.557025671,-0.00763557106,0.452759266,0.556989849,-0.00494770333,0.456503123,0.554585636,-0.00243057893,0.433395267,0.543702424,-0.00531438552,0.437690705,0.553909302,-0.00601274241,0.444682419,0.554761171,-0.0035615568,0.448293984,0.55288291,-0.00121940649
80.0,0.685955107,0.521284044,2.75728773e-008,0.666857302,0.52920121,-0.00213509426,0.661425292,0.540782452,-0.0037483403,0.665244102,0.550965905,-0.00467905868,0.667065501,0.558260858,-0.00486957468,0.678824186,0.546192706,-0.00889948569,0.677730143,0.560818315,-0.0125414692,0.669415653,0.560836792,-0.0131322211,0.665877759,0.557574689,-0.0122498302,0.691829324,0.545152962,-0.00845760386,0.689460814,0.560929537,-0.00982732233,0.680216372,0.560840368,-0.00882618409,0.67713666,0.557182193,-0.0080443928,0.700810969,0.543044806,-0.007639396,0.698365629,0.556831896,-0.00779609522,0.689221323,0.557339728,-0.0056023486,0.685491621,0.554386616,-0.00451261969,0.706974506,0.540540814,-0.00682619028,0.704383731,0.551614344,-0.00675062137,0.696929812,0.552667737,-0.00440701703,0.693676829,0.550388575,-0.002623996,0.446116775,0.523089707,-6.85828638e-008,0.466080517,0.528484106,-0.00395409716,0.475024372,0.537677765,-0.0058717276,0.475673616,0.547684,-0.00714268116,0.475896776,0.555241644,-0.00729956385,0.4589957,0.543048918,-0.00648279255,0.461491346,0.557056367,-0.0106783342,0.469554543,0.559077203,-0.0118662138,0.473761618,0.557573199,-0.0113973776,0.447033346,0.544231296,-0.00570119405,0.451998591,0.558246732,-0.00899237674,0.461272687,0.558514774,-0.0080845179,0.465234518,0.555827558,-0.0064939321,0.439032078,0.544401765,-0.00526620168,0.444169194,0.557123899,-0.00761290872,0.452591121,0.556944609,-0.00487771025,0.455842584,0.554443181,-0.00219442928,0.434007883,0.543978631,-0.00518188905,0.43800962,0.554213941,-0.00579322176,0.44476828,0.555029571,-0.00321250665,0.447956622,0.553075254,-0.000724107202
100.0,0.685675859,0.521443844,2.39632705e-008,0.666629136,0.529236674,-0.00239645317,0.661395371,0.54087168,-0.00409214618,0.665334821,0.550932288,-0.00504091056,0.667330921,0.558180511,-0.00521467,0.678765774,0.546423674,-0.00940806884,0.678116441,0.561197519,-0.0131674353,0.669409513,0.561140418,-0.0136993807,0.665656686,0.557609379,-0.0127272876,0.69172138,0.545329034,-0.00885076635,0.689466357,0.561164498,-0.010389477,0.680003166,0.560675919,-0.00931767933,0.677119851,0.556654632,-0.0084576495,0.700609207,0.543182135,-0.00793618243,0.698617935,0.557135284,-0.00823664106,0.689454377,0.557307124,-0.00593949156,0.685948133,0.554042816,-0.00476172706,0.706748545,0.540652633,-0.00705313869,0.704505086,0.551835418,-0.0072633177,0.697069705,0.552681088,-0.00504625635,0.69399029,0.550233662,-0.00333302491,0.446193725,0.522987306,-6.77697187e-008,0.466213524,0.528305709,-0.00387404789,0.475190789,0.537467957,-0.00585848652,0.47592479,0.547478139,-0.00718990061,0.476327091,0.555066586,-0.00742506329,0.458708376,0.543290138,-0.00645646127,0.461799622,0.557124794,-0.0102736196,0.469800889,0.55904144,-0.0112286182,0.473727763,0.557470322,-0.0106785307,0.446742177,0.544397235,-0.00567953708,0.452270746,0.558237612,-0.00851610303,0.461461067,0.558543801,-0.00742373755,0.46514371,0.555938542,-0.0058280346,0.438888609,0.544405639,-0.00522038387,0.444443017,0.557062328,-0.00724525563,0.452849209,0.557026923,-0.00448750751,0.456137925,0.554628,-0.00192503654,0.434076726,0.543844104,-0.00510234386,0.438252628,0.553836644,-0.00562856,0.444987297,0.554831,-0.00314432802,0.448280036,0.553119957,-0.000783760624
120.0,0.685627043,0.521393836,2.36066171e-008,0.666521311,0.529230177,-0.00229482492,0.661332726,0.540851712,-0.00402966328,0.665196478,0.550964057,-0.00500787469,0.666966796,0.558286428,-0.00522198156,0.678616881,0.546445906,-0.00962461438,0.677912474,0.561193168,-0.0133588091,0.669246376,0.561150134,-0.0137860626,0.665629089,0.557654142,-0.0127444,0.691604,0.545370758,-0.00913974456,0.689479649,0.561238289,-0.0106204925,0.67991358,0.560785294,-0.00940727815,0.676979721,0.556783557,-0.00846341532,0.700534344,0.543169677,-0.00826570299,0.698570073,0.557057,-0.00852377154,0.689255953,0.557247758,-0.00609974936,0.685682714,0.554022253,-0.0048548812,0.706765413,0.540522397,-0.00740399631,0.704575539,0.551653683,-0.00753791956,0.69708389,0.552529395,-0.00519258482,0.693981469,0.550110459,-0.00339868898,0.446238637,0.522910535,-7.06140781e-008,0.466288537,0.528251112,-0.0038087524,0.475262165,0.537498415,-0.00573852938,0.475914598,0.547487855,-0.00705443183,0.476169586,0.555058658,-0.00728036324,0.458941638,0.543320417,-0.00637278892,0.461940765,0.557177,-0.0103047276,0.470015705,0.559075654,-0.0113538038,0.473949909,0.557425261,-0.0108411592,0.446974099,0.544400871,-0.00565012824,0.452407062,0.558279634,-0.00869460776,0.461775035,0.558521807,-0.00766633032,0.465475827,0.555816829,-0.00602703122,0.439052731,0.544404924,-0.00524791516,0.44446367,0.557122,-0.00741093652,0.453007579,0.557046771,-0.00465828,0.4562594,0.554584205,-0.00201010448,0.434101343,0.543830872,-0.00518127065,0.438136697,0.553953469,-0.00570350373,0.444997281,0.554984927,-0.00315385615,0.448288321,0.553227961,-0.000700793695
140.0,0.685513437,0.5214867,1.48976191e-008,0.666559875,0.52938205,-0.00241021,0.66134119,0.540853441,-0.00440145098,0.665174603,0.551001191,-0.00577837415,0.667043567,0.558416486,-0.00632691104,0.678881168,0.546680272,-0.00909330789,0.678008735,0.561398625,-0.0132734766,0.669272423,0.560581148,-0.0142868189,0.666145861,0.556700587,-0.0136313308,0.691762865,0.545521498,-0.00882085878,0.689353585,0.561433613,-0.0106865885,0.679995775,0.560524046,-0.0099189952,0.677745163,0.556136429,-0.00923482329,0.70070076,0.543297291,-0.00825018,0.698538661,0.557327,-0.0088199107,0.689560771,0.557118237,-0.00638695108,0.686635,0.553487,-0.00503715919,0.706893921,0.540750563,-0.00774417305,0.70427686,0.552013516,-0.00808411743,0.697033107,0.552533805,-0.00565715367,0.694487691,0.549728811,-0.00374512235,0.44648397,0.522658229,-6.90238906e-008,0.46663323,0.528021872,-0.00393888447,0.475502223,0.537246764,-0.00607292028,0.4760544,0.547340631,-0.00751078269,0.476191789,0.554909348,-0.00782555528,0.459464371,0.542985618,-0.00706413621,0.462143779,0.55691123,-0.0110203307,0.470254868,0.558944285,-0.0118718613,0.474374324,0.55734551,-0.0111838,0.447377145,0.544045508,-0.00622804603,0.452504247,0.558054209,-0.00937247649,0.462027967,0.558539391,-0.00820251741,0.466080695,0.555912673,-0.00643809466,0.439392954,0.544089139,-0.00566767948,0.444746763,0.556829154,-0.00777473859,0.453532934,0.557144463,-0.00494300947,0.457347333,0.554866552,-0.00226244726,0.434364706,0.543524623,-0.00545345899,0.438398689,0.553675771,-0.00588132348,0.445545524,0.555077374,-0.00336038857,0.449516535,0.55359751,-0.000952914066
160.0,0.685343385,0.521382213,5.07329201e-009,0.666061461,0.529557586,-0.00187040423,0.661224663,0.541301072,-0.00348989177,0.665093243,0.55159229,-0.00466786604,0.667443693,0.558952689,-0.00500756409,0.678816855,0.546737552,-0.00778411096,0.67805475,0.561101556,-0.0117008826,0.669365048,0.559892893,-0.0128778769,0.666496515,0.556041598,-0.012464962,0.691527247,0.545546889,-0.00779041,0.689376891,0.56138289,-0.00952350814,0.68015945,0.560367882,-0.00901399087,0.678190887,0.555944324,-0.00851976313,0.700469911,0.543437302,-0.00749473972,0.69860214,0.557553113,-0.00798580889,0.6896137,0.557218969,-0.00565688964,0.686916888,0.553521931,-0.00437204,0.7067765,0.541049302,-0.0072490382,0.703966141,0.55223918,-0.00753168529,0.696790159,0.552665949,-0.00515028881,0.694419861,0.549816668,-0.00329084042,0.446401238,0.522794485,-6.83134616e-008,0.466614,0.527982295,-0.00379114877,0.475617498,0.537168324,-0.00582965044,0.476340175,0.54731971,-0.00711176218,0.476684719,0.55492276,-0.0072557712,0.459434628,0.542975485,-0.00750284083,0.462066084,0.557078898,-0.0112378448,0.470161468,0.558914661,-0.0117450543,0.47402212,0.557165504,-0.0108536445,0.447416902,0.544097126,-0.00664310949,0.452823311,0.55827105,-0.0096834749,0.462216079,0.558716416,-0.00822089426,0.466075122,0.556019902,-0.00627611438,0.439478368,0.54416,-0.00598905,0.44512853,0.556951284,-0.00799139217,0.453748673,0.557124555,-0.00491813617,0.457336962,0.55474776,-0.00210057036,0.434466958,0.543577313,-0.00565149123,0.438687265,0.553737223,-0.00599300209,0.445649385,0.55493629,-0.00332830334,0.449315965,0.553294063,-0.000840344932
180.0,0.685307503,0.521308243,2.27030131e-010,0.665822387,0.529607236,-0.00204645866,0.66094327,0.541405857,-0.00370823988,0.664910138,0.55177,-0.00491879508,0.667277217,0.559222102,-0.00522811199,0.678415418,0.54679513,-0.00752038,0.677862883,0.561035752,-0.0115238633,0.669310927,0.559585571,-0.0128843766,0.666752875,0.555558145,-0.01257296,0.691164076,0.545646727,-0.00745891267,0.688827932,0.561145663,-0.00909617078,0.67984575,0.55987829,-0.00866836123,0.678237736,0.55533421,-0.00824687164,0.700243711,0.543559611,-0.00715482514,0.69785434,0.557198882,-0.00745026814,0.68925643,0.556603372,-0.00505110435,0.687045,0.552799523,-0.00376366428,0.706762373,0.541195333,-0.00694951368,0.703466594,0.55216682,-0.00696800463,0.696587741,0.552279949,-0.00443713553,0.694662,0.549224198,-0.00250265538,0.446531713,0.522786498,-7.21556788e-008,0.466698676,0.527947307,-0.00416724896,0.475689918,0.537051558,-0.00661430927,0.476290315,0.547198474,-0.00828182884,0.476611376,0.554828584,-0.0088410005,0.45919919,0.542722583,-0.00850737654,0.462128937,0.557005465,-0.0128554516,0.470577925,0.558992088,-0.0137045849,0.474835306,0.557227075,-0.0129259685,0.447119325,0.543890238,-0.00761699351,0.452924132,0.558232963,-0.0112166954,0.463016212,0.558578074,-0.00979170389,0.467267483,0.555752516,-0.00774670299,0.439202756,0.544015467,-0.00696074031,0.445310473,0.55697304,-0.00932716113,0.454520673,0.55706203,-0.00615303498,0.458422542,0.554555833,-0.00316501013,0.434237838,0.543469608,-0.00665890751,0.438812613,0.553860664,-0.00721905427,0.446313471,0.555169046,-0.00453915959,0.450381607,0.553570628,-0.00197651028
