time,X_NOSE,Y_NOSE,Z_NOSE,visibility_NOSE,X_LEFT_EYE_INNER,Y_LEFT_EYE_INNER,Z_LEFT_EYE_INNER,visibility_LEFT_EYE_INNER,X_LEFT_EYE,Y_LEFT_EYE,Z_LEFT_EYE,visibility_LEFT_EYE,X_LEFT_EYE_OUTER,Y_LEFT_EYE_OUTER,Z_LEFT_EYE_OUTER,visibility_LEFT_EYE_OUTER,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_RIGHT_EYE,Y_RIGHT_EYE,Z_RIGHT_EYE,visibility_RIGHT_EYE,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_LEFT_EAR,Y_LEFT_EAR,Z_LEFT_EAR,visibility_LEFT_EAR,X_RIGHT_EAR,Y_RIGHT_EAR,Z_RIGHT_EAR,visibility_RIGHT_EAR,X_MOUTH_LEFT,Y_MOUTH_LEFT,Z_MOUTH_LEFT,visibility_MOUTH_LEFT,X_MOUTH_RIGHT,Y_MOUTH_RIGHT,Z_MOUTH_RIGHT,visibility_MOUTH_RIGHT,X_LEFT_SHOULDER,Y_LEFT_SHOULDER,Z_LEFT_SHOULDER,visibility_LEFT_SHOULDER,X_RIGHT_SHOULDER,Y_RIGHT_SHOULDER,Z_RIGHT_SHOULDER,visibility_RIGHT_SHOULDER,X_LEFT_ELBOW,Y_LEFT_ELBOW,Z_LEFT_ELBOW,visibility_LEFT_ELBOW,X_RIGHT_ELBOW,Y_RIGHT_ELBOW,Z_RIGHT_ELBOW,visibility_RIGHT_ELBOW,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,visibility_LEFT_WRIST,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,visibility_RIGHT_WRIST,X_LEFT_PINKY,Y_LEFT_PINKY,Z_LEFT_PINKY,visibility_LEFT_PINKY,X_RIGHT_PINKY,Y_RIGHT_PINKY,Z_RIGHT_PINKY,visibility_RIGHT_PINKY,X_LEFT_INDEX,Y_LEFT_INDEX,Z_LEFT_INDEX,visibility_LEFT_INDEX,X_RIGHT_INDEX,Y_RIGHT_INDEX,Z_RIGHT_INDEX,visibility_RIGHT_INDEX,X_LEFT_THUMB,Y_LEFT_THUMB,Z_LEFT_THUMB,visibility_LEFT_THUMB,X_RIGHT_THUMB,Y_RIGHT_THUMB,Z_RIGHT_THUMB,visibility_RIGHT_THUMB,X_LEFT_HIP,Y_LEFT_HIP,Z_LEFT_HIP,visibility_LEFT_HIP,X_RIGHT_HIP,Y_RIGHT_HIP,Z_RIGHT_HIP,visibility_RIGHT_HIP,X_LEFT_KNEE,Y_LEFT_KNEE,Z_LEFT_KNEE,visibility_LEFT_KNEE,X_RIGHT_KNEE,Y_RIGHT_KNEE,Z_RIGHT_KNEE,visibility_RIGHT_KNEE,X_LEFT_ANKLE,Y_LEFT_ANKLE,Z_LEFT_ANKLE,visibility_LEFT_ANKLE,X_RIGHT_ANKLE,Y_RIGHT_ANKLE,Z_RIGHT_ANKLE,visibility_RIGHT_ANKLE,X_LEFT_HEEL,Y_LEFT_HEEL,Z_LEFT_HEEL,visibility_LEFT_HEEL,X_RIGHT_HEEL,Y_RIGHT_HEEL,Z_RIGHT_HEEL,visibility_RIGHT_HEEL,X_LEFT_FOOT_INDEX,Y_LEFT_FOOT_INDEX,Z_LEFT_FOOT_INDEX,visibility_LEFT_FOOT_INDEX,X_RIGHT_FOOT_INDEX,Y_RIGHT_FOOT_INDEX,Z_RIGHT_FOOT_INDEX,visibility_RIGHT_FOOT_INDEX
0,0.57606405,0.329139531,-0.583419919,0.999998689,0.587688,0.322158635,-0.552292943,0.999995708,0.594807,0.322549284,-0.552316725,0.999995708,0.600370288,0.322795331,-0.552337348,0.999995828,0.565628886,0.321807176,-0.551143587,0.99999404,0.558580756,0.322131157,-0.551156461,0.999993563,0.551783204,0.322506905,-0.551127911,0.999993086,0.610778809,0.329341739,-0.350081861,0.999990582,0.545660138,0.330016017,-0.348711789,0.99998343,0.591064095,0.34205696,-0.50680995,0.999998331,0.562863171,0.341967583,-0.506506264,0.999997735,0.661474168,0.391079247,-0.218048349,0.999995232,0.501805067,0.393030226,-0.183620885,0.99994576,0.680866659,0.464854658,-0.13825272,0.996152818,0.475363612,0.474071771,-0.108957358,0.97722584,0.67379564,0.537506342,-0.328184456,0.99557966,0.476402968,0.54190731,-0.284263253,0.964564621,0.671102762,0.561234653,-0.392142773,0.9880777,0.476246029,0.565661609,-0.342692494,0.93101269,0.658446491,0.559376359,-0.449605167,0.988952458,0.492785186,0.564123511,-0.396957636,0.933978915,0.656134367,0.553214133,-0.352835625,0.984544456,0.497560978,0.556659937,-0.308343112,0.921759,0.619134367,0.528407454,-0.0132211968,0.999884963,0.526776254,0.530140102,0.0129609415,0.999778569,0.606182933,0.644393325,-0.0417217128,0.986801386,0.54488188,0.642122865,0.00498806639,0.977329195,0.596809328,0.743617177,0.267933,0.989078,0.545914054,0.739329934,0.306729078,0.982979119,0.59076649,0.75310725,0.283869922,0.883431137,0.548652887,0.749815583,0.323213041,0.813459635,0.589767277,0.780111909,0.047542192,0.983166456,0.534469783,0.777330458,0.0924725235,0.97823596
20.0,0.575091779,0.329438388,-0.613604724,0.999998748,0.587214291,0.322352767,-0.583323419,0.999995828,0.594227314,0.322805077,-0.583334625,0.999995828,0.600020826,0.323132515,-0.583360076,0.999995947,0.565408945,0.321965367,-0.582895339,0.999994218,0.558440328,0.322360665,-0.582929552,0.999993801,0.551633835,0.322722822,-0.58290261,0.999993324,0.610578835,0.329536498,-0.377879649,0.999990761,0.545675814,0.329964161,-0.380224258,0.999984086,0.590269387,0.342057079,-0.534949064,0.999998331,0.561862409,0.34186396,-0.535748541,0.999997795,0.661784649,0.390963972,-0.227071702,0.999995053,0.501806,0.392978162,-0.213213399,0.999947071,0.680966139,0.4648709,-0.137625143,0.996059299,0.475408942,0.473994821,-0.136007503,0.978080273,0.673795462,0.537565053,-0.320539862,0.995437443,0.476827949,0.541734815,-0.310195118,0.965763748,0.671162307,0.561162353,-0.381673,0.987691104,0.476448178,0.565442622,-0.369493395,0.932982326,0.658661306,0.559075594,-0.440608919,0.988592803,0.492926419,0.56388855,-0.421862841,0.935838759,0.656329513,0.552288115,-0.345675468,0.984101176,0.497878075,0.555937529,-0.332783908,0.923773348,0.618828416,0.528228,-0.012240353,0.999884,0.526841581,0.529652536,0.0119582964,0.999779463,0.606184244,0.644365907,-0.0391745642,0.986367762,0.544782937,0.642261207,0.0036302153,0.977029681,0.596889198,0.743649542,0.265431523,0.988796711,0.546048164,0.74076575,0.294598728,0.982677817,0.590766549,0.753228366,0.280748665,0.882179677,0.549207091,0.75087297,0.310228,0.810551226,0.590076268,0.780118346,0.045167312,0.982857347,0.535301566,0.777534842,0.0761577189,0.977830231
40.0,0.574320316,0.329734534,-0.618284583,0.999998748,0.586818337,0.322648972,-0.588423729,0.999995947,0.593745828,0.32317847,-0.588431299,0.999995947,0.599754274,0.323576868,-0.588458776,0.999996066,0.56515646,0.322199,-0.587515891,0.999994397,0.558277369,0.322644591,-0.587547123,0.999994,0.551493406,0.322976649,-0.587517798,0.999993563,0.610457897,0.329869419,-0.384379089,0.999991,0.545678794,0.329963535,-0.384418368,0.999984622,0.58970207,0.3420901,-0.540038347,0.999998331,0.561018944,0.341828883,-0.540198147,0.999997795,0.661832273,0.390962958,-0.232992843,0.999994934,0.501818657,0.39295131,-0.216314688,0.999948,0.680965424,0.464937419,-0.13831751,0.996019125,0.475410134,0.473929226,-0.137855813,0.978690386,0.673798144,0.537578523,-0.31931895,0.995371819,0.477063596,0.541631699,-0.311439455,0.966748595,0.671247542,0.561056316,-0.379928946,0.987497807,0.476566344,0.565284431,-0.37042284,0.934633672,0.658841372,0.558799863,-0.438981861,0.988411665,0.493069559,0.563720286,-0.422998458,0.937398374,0.656463563,0.551672876,-0.344424427,0.98388207,0.498174369,0.55553323,-0.334126353,0.925473869,0.618268847,0.528100371,-0.01225123,0.999883,0.526856,0.529279888,0.0119672958,0.999780059,0.606148541,0.644187808,-0.0393649079,0.98600018,0.544554591,0.64225477,0.00351580326,0.976734519,0.5971753,0.743528247,0.259452,0.988534689,0.546139,0.741171539,0.290730894,0.98239553,0.590947628,0.753148377,0.274354041,0.880648494,0.549870789,0.751192689,0.306107283,0.808456659,0.590239763,0.780038059,0.0396783762,0.982541,0.535411835,0.777628183,0.0727898702,0.977432489
60.0,0.573985755,0.329871058,-0.612838507,0.999998748,0.586663663,0.322863221,-0.582649589,0.999996,0.593529403,0.323446095,-0.582659,0.999996,0.599640906,0.323904902,-0.582683146,0.999996126,0.565073,0.32234326,-0.581728518,0.999994516,0.558229506,0.322809309,-0.58175689,0.999994099,0.551461577,0.323125303,-0.581728101,0.999993742,0.6104092,0.330227792,-0.379042834,0.999991059,0.54568094,0.329962909,-0.378951341,0.999985,0.589381635,0.34209761,-0.534953475,0.999998331,0.560656488,0.341756403,-0.535064638,0.999997795,0.661827147,0.390947729,-0.231482506,0.999994814,0.501802921,0.392933697,-0.211804733,0.999949098,0.680972,0.464942724,-0.136877283,0.995973468,0.47540164,0.473929554,-0.134113774,0.979335964,0.673797309,0.537582457,-0.315490752,0.995310962,0.477146864,0.54159981,-0.307940066,0.96784246,0.671396136,0.56092447,-0.375856489,0.987333238,0.476582557,0.565185249,-0.366756916,0.936505,0.65907,0.558592856,-0.434860468,0.988255,0.493110031,0.563607335,-0.419594467,0.939167798,0.65661341,0.551298916,-0.34065333,0.983702123,0.498277336,0.555296361,-0.330826461,0.927441657,0.618087888,0.528097034,-0.0123915579,0.9998824,0.526884079,0.52921474,0.012104813,0.99978137,0.606044054,0.644074619,-0.0406309441,0.9857831,0.544125855,0.642254174,0.0035237777,0.976572156,0.597260654,0.743366599,0.259061962,0.988318563,0.546143651,0.741251171,0.292258501,0.982208967,0.590973914,0.75297,0.274243802,0.879439354,0.550202787,0.751233101,0.307865679,0.807332397,0.590278745,0.779913664,0.0399973467,0.982314765,0.535417795,0.777682543,0.0751972049,0.977179348
80.0,0.573968709,0.329974562,-0.611320615,0.999998748,0.586664319,0.323031306,-0.581107,0.999996066,0.593519,0.323638827,-0.581122,0.999996066,0.59964,0.32414028,-0.581148148,0.999996185,0.565087259,0.32244,-0.579515517,0.999994636,0.558242917,0.322912902,-0.57953757,0.999994278,0.551483,0.323223323,-0.579512835,0.99999392,0.610414624,0.330512166,-0.378593564,0.999991179,0.545695841,0.329959214,-0.375796676,0.999985456,0.589351058,0.342107326,-0.534352422,0.999998331,0.560639441,0.341702431,-0.533332705,0.999997854,0.66182673,0.390924811,-0.226590008,0.999994755,0.501802087,0.392871857,-0.208746165,0.99995023,0.680985153,0.464966834,-0.130954966,0.995927811,0.475400746,0.47390765,-0.13147524,0.979966104,0.673843086,0.537583888,-0.31106475,0.995267928,0.477149844,0.541540802,-0.305737942,0.968890727,0.671597421,0.560841858,-0.371887,0.987222195,0.476578593,0.565083623,-0.364625812,0.938307166,0.659275413,0.558446884,-0.430796385,0.988149345,0.493121237,0.563522637,-0.417542309,0.940879226,0.656784415,0.551030397,-0.336363643,0.983588934,0.498325199,0.55512166,-0.328736,0.929370046,0.617795944,0.528089881,-0.0124751143,0.999881804,0.526888609,0.529173136,0.012189691,0.999782264,0.605867147,0.64401257,-0.0409067348,0.985429406,0.543958426,0.64226687,0.00306826225,0.976146936,0.597271204,0.743346512,0.254825711,0.988000631,0.54615885,0.741542101,0.288093567,0.981853664,0.590977073,0.752948225,0.269610286,0.877633452,0.550441384,0.751464844,0.303271294,0.805313408,0.590280831,0.779895425,0.0366570354,0.981958628,0.535484731,0.777842164,0.0713576,0.976737797
100.0,0.574047446,0.330012411,-0.604843855,0.999998748,0.586807966,0.323106378,-0.573928654,0.999996126,0.593607306,0.323714823,-0.573943377,0.999996126,0.599725962,0.324242204,-0.573964238,0.999996185,0.565279067,0.322475493,-0.574213445,0.999994695,0.558408499,0.322949022,-0.574238896,0.999994397,0.551653504,0.323265463,-0.574204326,0.99999404,0.610501111,0.330655068,-0.369057536,0.999991179,0.545727909,0.329952419,-0.375067055,0.999985814,0.589388132,0.34210822,-0.526735902,0.999998331,0.560726,0.341625541,-0.52839458,0.999997854,0.661735594,0.390865028,-0.218905777,0.999994636,0.501802087,0.392820686,-0.207243904,0.999951065,0.680986404,0.464941382,-0.122924633,0.995855927,0.475420982,0.473835379,-0.12991707,0.980565846,0.67385751,0.537579596,-0.300883353,0.995209932,0.477152228,0.54145366,-0.304425567,0.969821274,0.671747148,0.560722291,-0.361091226,0.987083673,0.476559043,0.564965367,-0.363248557,0.939902246,0.659438,0.558304489,-0.419938296,0.988018453,0.493130267,0.563461304,-0.416489929,0.942395508,0.656895101,0.550822198,-0.326253384,0.983456314,0.498381257,0.55500108,-0.327641,0.931105733,0.617493331,0.528089345,-0.0124436198,0.999880791,0.526890874,0.529134572,0.0121609587,0.999782324,0.605776072,0.643982649,-0.0398508571,0.985104322,0.543778062,0.642256081,0.00280015473,0.975826681,0.597273171,0.743164659,0.255028546,0.987664819,0.546165407,0.741669893,0.286056072,0.981530964,0.590975702,0.752757788,0.26977241,0.876030803,0.550561,0.751560152,0.301053286,0.803514659,0.590313613,0.779733896,0.0372219719,0.981581092,0.535482585,0.777927935,0.07012707,0.97632134
120.0,0.574272513,0.330076545,-0.604725063,0.999998748,0.587047696,0.323221773,-0.573602796,0.999996185,0.593771398,0.323823422,-0.573616564,0.999996185,0.599859059,0.324363172,-0.57363534,0.999996185,0.565600038,0.322562903,-0.57339114,0.999994755,0.558671117,0.323029101,-0.573414564,0.999994516,0.551938653,0.32335344,-0.573384166,0.999994159,0.610631287,0.33078897,-0.367127,0.999991238,0.545763791,0.329956919,-0.37296921,0.999986172,0.589516044,0.34211719,-0.525840402,0.999998331,0.560974061,0.341591626,-0.527690172,0.999997854,0.661660254,0.390753448,-0.217083544,0.999994576,0.501799643,0.392774582,-0.205876723,0.999951839,0.680993438,0.464856535,-0.120951995,0.995803952,0.475441158,0.473757654,-0.129182443,0.981135786,0.673873782,0.537557423,-0.299110681,0.995173,0.477152854,0.541371942,-0.303543776,0.970701158,0.671894252,0.560593724,-0.359354764,0.986992657,0.476530224,0.564856231,-0.362374693,0.941407,0.659586668,0.558172345,-0.418368429,0.987931728,0.493132859,0.563404858,-0.415544778,0.943830311,0.656996429,0.550650775,-0.324546963,0.983374894,0.498409182,0.554902434,-0.326722383,0.932749927,0.617327392,0.528066814,-0.0124418465,0.999879539,0.526895642,0.529056251,0.0121603031,0.999782,0.605685413,0.643938303,-0.0395123325,0.984839201,0.543594718,0.642237842,0.00268484559,0.975523531,0.597272217,0.742995,0.253737092,0.987370253,0.546176314,0.741731226,0.283670247,0.981250525,0.590976775,0.752576768,0.268217176,0.87452656,0.550676346,0.751641333,0.298338979,0.802027404,0.590319455,0.779564619,0.0364929251,0.981253803,0.535426915,0.777966797,0.0675551593,0.975956202
140.0,0.57446146,0.330124587,-0.605767369,0.999998808,0.587233424,0.32331118,-0.574552178,0.999996305,0.593894899,0.32390669,-0.574564755,0.999996305,0.599945247,0.324450582,-0.57458508,0.999996305,0.565848172,0.322642654,-0.574908674,0.999994934,0.558870256,0.323102653,-0.574935138,0.999994695,0.552151263,0.323432475,-0.57489711,0.999994338,0.610699236,0.330868065,-0.36757341,0.999991477,0.545788,0.329972118,-0.374801099,0.999986649,0.589609146,0.342121929,-0.526625216,0.999998391,0.561169,0.341559231,-0.528857887,0.999997914,0.661652863,0.390659273,-0.218113422,0.999994576,0.501785398,0.39277178,-0.206600785,0.999952555,0.681167901,0.464811832,-0.122315004,0.995823324,0.475444525,0.473752379,-0.129487425,0.981608331,0.673948586,0.537548482,-0.301228583,0.995196,0.47716105,0.541258931,-0.304378897,0.97139293,0.672048092,0.560510814,-0.36176753,0.987030864,0.476530522,0.564750552,-0.363461703,0.942568,0.659704506,0.558064699,-0.419963688,0.987966418,0.493150622,0.563284039,-0.416650355,0.944939256,0.657092094,0.550532401,-0.326344341,0.983435333,0.498464108,0.55474323,-0.327484071,0.933995664,0.617278874,0.528017163,-0.0126173124,0.999879122,0.526927948,0.529009,0.012337937,0.999782145,0.60569185,0.64392966,-0.0406005383,0.984659672,0.543423533,0.642229199,0.00268729869,0.975224316,0.597311735,0.742967308,0.250970334,0.987179101,0.546195149,0.741802573,0.283635497,0.981042504,0.591050386,0.752564549,0.26530695,0.873378694,0.550826371,0.751765132,0.298245221,0.801004767,0.590360522,0.779491365,0.0324832089,0.981051147,0.535327077,0.778018892,0.0667136163,0.975688219
160.0,0.574619293,0.33016625,-0.604999363,0.999998868,0.587345958,0.323376268,-0.573765874,0.999996364,0.593964636,0.323966175,-0.573779404,0.999996364,0.599985778,0.324511498,-0.573799849,0.999996364,0.566007197,0.322700948,-0.574182332,0.999995053,0.558994114,0.323154628,-0.574208438,0.999994814,0.552274168,0.323487729,-0.574169397,0.999994457,0.610712886,0.330925971,-0.367155343,0.999991655,0.54579109,0.329983652,-0.374152333,0.999987,0.589689612,0.342126191,-0.525986493,0.999998391,0.561346352,0.341528922,-0.52816838,0.999998,0.661649346,0.390544146,-0.21823518,0.999994576,0.501740336,0.392785519,-0.206645563,0.999953091,0.681203842,0.464783192,-0.1233017,0.995833576,0.475444645,0.473767966,-0.129675597,0.982095063,0.67400527,0.537583,-0.302906275,0.995214939,0.477198213,0.54119724,-0.304745644,0.972114,0.672121346,0.5605039,-0.363616228,0.987063348,0.476542622,0.564721167,-0.364011675,0.943803,0.659757912,0.558034062,-0.421706825,0.987994,0.493186712,0.563262343,-0.417139202,0.946117461,0.657139122,0.550496399,-0.327948421,0.983488619,0.498574764,0.554700315,-0.327785671,0.935328782,0.617213488,0.528051913,-0.01265918,0.999878764,0.526937723,0.529035151,0.0123808673,0.999782205,0.605689585,0.643933,-0.0406065173,0.984453917,0.54335022,0.642248392,0.00292589073,0.974921346,0.597316623,0.742894471,0.25132224,0.986940205,0.546215177,0.741844058,0.284223139,0.98079741,0.591056466,0.752491176,0.26570192,0.872366965,0.550873756,0.751807451,0.299002439,0.799888194,0.590414941,0.779407561,0.0332582556,0.980793178,0.535296679,0.778053164,0.0674166679,0.975381374
180.0,0.574635446,0.330222517,-0.609526038,0.999998927,0.587379813,0.32345,-0.578290105,0.999996424,0.593981683,0.324038059,-0.57830435,0.999996424,0.600003183,0.324582547,-0.578326225,0.999996424,0.566038609,0.322764546,-0.579082906,0.999995172,0.559016049,0.323212,-0.579112649,0.999994934,0.55229193,0.323541075,-0.579072356,0.999994576,0.610734463,0.330983609,-0.371327221,0.999991834,0.54579103,0.329996943,-0.379734665,0.999987364,0.589702487,0.342136711,-0.530354261,0.999998391,0.56136626,0.34151116,-0.532913268,0.999998033,0.661730468,0.39049235,-0.221441939,0.999994576,0.50170809,0.392811924,-0.213085309,0.999953628,0.681344509,0.464781761,-0.124482356,0.995856345,0.475444883,0.473834664,-0.1353302,0.982590616,0.674088717,0.537629,-0.304696232,0.99524039,0.477206707,0.541165471,-0.309532166,0.972782314,0.672174096,0.560501337,-0.365120798,0.987100661,0.476555884,0.564699411,-0.36890012,0.944927,0.659828782,0.558019876,-0.423884839,0.988029063,0.493237823,0.563228369,-0.421521425,0.947186887,0.657227,0.550475776,-0.329931468,0.983553529,0.498681426,0.554664254,-0.332242,0.936522841,0.61717993,0.528052568,-0.0123725794,0.999878168,0.526940703,0.529035807,0.0120947398,0.999781966,0.605688393,0.64393127,-0.0405069403,0.984183669,0.543307185,0.642248452,0.00233642431,0.974643886,0.597316802,0.742814481,0.251859188,0.986655056,0.546218872,0.741856337,0.284174114,0.980513752,0.591046274,0.752416,0.266345888,0.871460199,0.550875366,0.751830041,0.299042642,0.798056,0.590561867,0.779355347,0.0337883569,0.98046428,0.535296679,0.778063059,0.0674440637,0.97499609
