time,X_NOSE,Y_NOSE,Z_NOSE,visibility_NOSE,X_LEFT_EYE_INNER,Y_LEFT_EYE_INNER,Z_LEFT_EYE_INNER,visibility_LEFT_EYE_INNER,X_LEFT_EYE,Y_LEFT_EYE,Z_LEFT_EYE,visibility_LEFT_EYE,X_LEFT_EYE_OUTER,Y_LEFT_EYE_OUTER,Z_LEFT_EYE_OUTER,visibility_LEFT_EYE_OUTER,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_RIGHT_EYE,Y_RIGHT_EYE,Z_RIGHT_EYE,visibility_RIGHT_EYE,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_LEFT_EAR,Y_LEFT_EAR,Z_LEFT_EAR,visibility_LEFT_EAR,X_RIGHT_EAR,Y_RIGHT_EAR,Z_RIGHT_EAR,visibility_RIGHT_EAR,X_MOUTH_LEFT,Y_MOUTH_LEFT,Z_MOUTH_LEFT,visibility_MOUTH_LEFT,X_MOUTH_RIGHT,Y_MOUTH_RIGHT,Z_MOUTH_RIGHT,visibility_MOUTH_RIGHT,X_LEFT_SHOULDER,Y_LEFT_SHOULDER,Z_LEFT_SHOULDER,visibility_LEFT_SHOULDER,X_RIGHT_SHOULDER,Y_RIGHT_SHOULDER,Z_RIGHT_SHOULDER,visibility_RIGHT_SHOULDER,X_LEFT_ELBOW,Y_LEFT_ELBOW,Z_LEFT_ELBOW,visibility_LEFT_ELBOW,X_RIGHT_ELBOW,Y_RIGHT_ELBOW,Z_RIGHT_ELBOW,visibility_RIGHT_ELBOW,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,visibility_LEFT_WRIST,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,visibility_RIGHT_WRIST,X_LEFT_PINKY,Y_LEFT_PINKY,Z_LEFT_PINKY,visibility_LEFT_PINKY,X_RIGHT_PINKY,Y_RIGHT_PINKY,Z_RIGHT_PINKY,visibility_RIGHT_PINKY,X_LEFT_INDEX,Y_LEFT_INDEX,Z_LEFT_INDEX,visibility_LEFT_INDEX,X_RIGHT_INDEX,Y_RIGHT_INDEX,Z_RIGHT_INDEX,visibility_RIGHT_INDEX,X_LEFT_THUMB,Y_LEFT_THUMB,Z_LEFT_THUMB,visibility_LEFT_THUMB,X_RIGHT_THUMB,Y_RIGHT_THUMB,Z_RIGHT_THUMB,visibility_RIGHT_THUMB,X_LEFT_HIP,Y_LEFT_HIP,Z_LEFT_HIP,visibility_LEFT_HIP,X_RIGHT_HIP,Y_RIGHT_HIP,Z_RIGHT_HIP,visibility_RIGHT_HIP,X_LEFT_KNEE,Y_LEFT_KNEE,Z_LEFT_KNEE,visibility_LEFT_KNEE,X_RIGHT_KNEE,Y_RIGHT_KNEE,Z_RIGHT_KNEE,visibility_RIGHT_KNEE,X_LEFT_ANKLE,Y_LEFT_ANKLE,Z_LEFT_ANKLE,visibility_LEFT_ANKLE,X_RIGHT_ANKLE,Y_RIGHT_ANKLE,Z_RIGHT_ANKLE,visibility_RIGHT_ANKLE,X_LEFT_HEEL,Y_LEFT_HEEL,Z_LEFT_HEEL,visibility_LEFT_HEEL,X_RIGHT_HEEL,Y_RIGHT_HEEL,Z_RIGHT_HEEL,visibility_RIGHT_HEEL,X_LEFT_FOOT_INDEX,Y_LEFT_FOOT_INDEX,Z_LEFT_FOOT_INDEX,visibility_LEFT_FOOT_INDEX,X_RIGHT_FOOT_INDEX,Y_RIGHT_FOOT_INDEX,Z_RIGHT_FOOT_INDEX,visibility_RIGHT_FOOT_INDEX
0,0.540632665,0.39999634,-0.514497638,0.99992907,0.552849531,0.392750889,-0.496216953,0.999794424,0.558906674,0.393048644,-0.496235758,0.999790132,0.565650225,0.393438727,-0.496263862,0.999799788,0.54086405,0.392252982,-0.487550646,0.999781787,0.537823677,0.392127305,-0.487597317,0.999762952,0.535209656,0.391950905,-0.48768276,0.999772608,0.581975818,0.397127301,-0.335400909,0.999524355,0.540053308,0.394832522,-0.298042476,0.999442041,0.550548375,0.40979895,-0.450810224,0.999915838,0.535606861,0.409384251,-0.440238774,0.9999125,0.629933834,0.444168687,-0.209622219,0.999902844,0.501067042,0.43938911,-0.158758506,0.9998734,0.632749081,0.506504118,-0.159646899,0.980959475,0.483462244,0.499438196,-0.10711582,0.950573623,0.58264184,0.554541826,-0.304040283,0.968952,0.51752305,0.545771837,-0.267363489,0.930960536,0.566796601,0.570521116,-0.36013,0.938407838,0.528489,0.564729571,-0.320962936,0.887764812,0.555559874,0.564702094,-0.400831282,0.9407534,0.538769245,0.561400473,-0.357892781,0.88817513,0.557330847,0.559053838,-0.321323484,0.917848647,0.536033213,0.554975,-0.283730477,0.855088353,0.591057837,0.558775246,-0.00658857776,0.999433219,0.51526314,0.555373,0.00647556968,0.9993155,0.58548522,0.650595129,-0.037243031,0.959263086,0.52504003,0.644820631,-0.0053178831,0.96650207,0.571959555,0.741010904,0.188452944,0.973347425,0.53455019,0.738121033,0.209677055,0.969750881,0.563858151,0.751073301,0.1993334,0.860749483,0.534434617,0.751360476,0.220596418,0.783002913,0.578621149,0.77305758,-0.00713417446,0.965937495,0.537456274,0.771881,0.0198082663,0.959427
20.0,0.541109383,0.400000393,-0.571978569,0.999932945,0.553388834,0.392672211,-0.555626214,0.999804497,0.559496582,0.392955512,-0.555621684,0.999800682,0.566131,0.393306911,-0.55565691,0.999809325,0.541449249,0.391919345,-0.548891366,0.99979353,0.538656652,0.391590983,-0.548965752,0.999776065,0.536416233,0.391247123,-0.549034297,0.999784708,0.582258403,0.396993786,-0.397790968,0.999549329,0.541169047,0.394152135,-0.368604898,0.999476373,0.551120162,0.409799963,-0.508327603,0.999919474,0.536268175,0.409140199,-0.500169575,0.999916255,0.629958749,0.444213212,-0.265158921,0.999903738,0.501070142,0.439319879,-0.220738962,0.999877334,0.632814586,0.506042,-0.1999975,0.980809391,0.483499497,0.499500424,-0.160823926,0.951953292,0.582429349,0.553926229,-0.325906605,0.96782577,0.517624557,0.547400177,-0.304271638,0.931470931,0.566206694,0.570365548,-0.377940923,0.936541915,0.528711677,0.565560162,-0.354876667,0.887917876,0.555559754,0.564679384,-0.420681417,0.938896,0.538773417,0.562265515,-0.392587394,0.888350666,0.55733794,0.559014916,-0.343604058,0.915767372,0.536030948,0.555860698,-0.320673,0.855965614,0.591261685,0.558407605,-0.0129867727,0.999415874,0.516935527,0.555040717,0.012859921,0.999314427,0.58555609,0.650588,-0.024026094,0.960250378,0.525175512,0.644725,0.0228617378,0.966188908,0.571606934,0.7410115,0.166778162,0.973697364,0.535474539,0.738070071,0.20970878,0.96961683,0.563857436,0.751091182,0.17234,0.858204067,0.536936939,0.750387609,0.219727039,0.783272743,0.576637447,0.772687,-0.0330205411,0.965931296,0.536245584,0.771736383,0.0228493288,0.959259868
40.0,0.541338325,0.40006575,-0.580555558,0.999936521,0.553660154,0.392671466,-0.564499438,0.999813855,0.559812605,0.392954648,-0.564496458,0.999810457,0.566381395,0.393303216,-0.564534664,0.999818265,0.541708708,0.391782254,-0.558033764,0.999804378,0.53905189,0.391327769,-0.558108687,0.999788046,0.536986232,0.390869319,-0.558173597,0.999795735,0.582375824,0.396959305,-0.405814886,0.999572337,0.541563153,0.393737525,-0.37802285,0.999507964,0.551321,0.409873694,-0.51635915,0.999922812,0.536541641,0.409077913,-0.508592367,0.999919713,0.629851222,0.444218338,-0.271354616,0.999905229,0.500846922,0.439291328,-0.228251636,0.999881506,0.632817,0.505631864,-0.205821216,0.980762422,0.483500063,0.499559909,-0.165582091,0.95335412,0.582389951,0.553390563,-0.333924,0.967017353,0.517613947,0.548234403,-0.307656467,0.932121575,0.566077173,0.570121765,-0.386069596,0.935162783,0.528750837,0.566152811,-0.357779354,0.888365686,0.555738211,0.56461215,-0.429292738,0.937534273,0.538734436,0.562842309,-0.396246612,0.888852,0.557548046,0.558865368,-0.351858109,0.914255083,0.535911202,0.556366265,-0.324293256,0.857154071,0.591265321,0.558025956,-0.0147405993,0.999400318,0.517515481,0.55467546,0.0146162556,0.99931407,0.585552812,0.65058893,-0.0209366698,0.960775256,0.525417328,0.644534826,0.0248803347,0.96564573,0.570998,0.741004348,0.156149983,0.973804,0.535890579,0.738052309,0.206440896,0.969225109,0.563482761,0.751116753,0.160750791,0.856157541,0.537356257,0.749842525,0.214042112,0.7825073,0.576303,0.772556901,-0.0439999439,0.965685725,0.535972536,0.771556497,0.0216168258,0.958718479
60.0,0.541516125,0.400090426,-0.565226674,0.999940157,0.553822458,0.392664969,-0.548825383,0.99982363,0.55999887,0.392948896,-0.548824847,0.99982059,0.5665133,0.393292308,-0.548857033,0.999827564,0.541820765,0.391669273,-0.542353,0.999815226,0.539230108,0.391142875,-0.542419672,0.999799907,0.537235439,0.390629888,-0.542482555,0.999806702,0.582419693,0.396897912,-0.389603019,0.999596477,0.541645169,0.393426836,-0.361920178,0.999539137,0.551502407,0.409890473,-0.500960529,0.999926627,0.536711395,0.409001678,-0.493091434,0.999923527,0.629692793,0.444195449,-0.255861819,0.999908149,0.50076443,0.439174086,-0.214576,0.999886453,0.632822812,0.504748344,-0.197422564,0.980650842,0.483489543,0.499539226,-0.15146488,0.954579473,0.582447171,0.552816689,-0.322176665,0.966311574,0.517565131,0.548709571,-0.29917407,0.932846129,0.566079378,0.569837689,-0.370727807,0.934023619,0.528769314,0.566450179,-0.352250665,0.888982296,0.556211114,0.564505279,-0.416222721,0.936418653,0.538667,0.563103378,-0.388974279,0.889523745,0.558091342,0.558686435,-0.341088921,0.913053572,0.53574425,0.556649148,-0.31554082,0.858525932,0.591264606,0.55771625,-0.0148106767,0.99939239,0.517980218,0.554282248,0.0146916611,0.999319136,0.58562237,0.650396764,-0.0201261342,0.961135864,0.525743186,0.643887877,0.0213403497,0.965069294,0.570667505,0.740991,0.154632658,0.973821104,0.536587477,0.737973332,0.201870695,0.968796849,0.563208,0.751118243,0.159410581,0.853661597,0.537909448,0.749244332,0.208652198,0.781705201,0.57624191,0.772489607,-0.0460293293,0.965351701,0.535969257,0.771427929,0.0174500234,0.958254933
80.0,0.541643202,0.400119722,-0.557412744,0.999943376,0.553916514,0.392663598,-0.540235639,0.999832392,0.560091138,0.392948329,-0.540242493,0.99982965,0.566568792,0.393291,-0.540275633,0.999835849,0.541900396,0.39160338,-0.532825053,0.999824882,0.539353967,0.391035408,-0.532886267,0.999810398,0.537395358,0.390493959,-0.532957375,0.999816418,0.582425952,0.396874487,-0.380468696,0.999618292,0.541665733,0.393271089,-0.350272328,0.999566734,0.55157876,0.409911901,-0.493490815,0.999930203,0.536811352,0.408970684,-0.484256595,0.999927104,0.6295802,0.444180369,-0.250051,0.999911308,0.50053817,0.439069301,-0.204878166,0.999890864,0.632815838,0.504400432,-0.185288861,0.980693042,0.483425409,0.499489337,-0.145284787,0.955589652,0.582484126,0.552363038,-0.310596734,0.96617949,0.517474234,0.549092293,-0.293059498,0.933579803,0.566095233,0.569641352,-0.360418022,0.933912873,0.528767169,0.566712439,-0.343516678,0.889753342,0.556530654,0.564398944,-0.405856103,0.936295867,0.538518727,0.563330591,-0.382797599,0.890353501,0.558414817,0.558494449,-0.329603583,0.913063109,0.535626709,0.556930125,-0.310306668,0.860062122,0.591257513,0.557697237,-0.0147196874,0.999384224,0.518143833,0.554242551,0.0146054579,0.999322772,0.585652649,0.650571406,-0.0203411411,0.961723626,0.52574122,0.64386785,0.0183922034,0.964835882,0.570401967,0.740993261,0.158524811,0.973888814,0.536918104,0.737974763,0.199794933,0.96859473,0.563090086,0.751122713,0.164186746,0.851355076,0.538276,0.749089956,0.206759796,0.781424,0.576223493,0.772472322,-0.0411113575,0.965096891,0.535974145,0.771419823,0.0153220827,0.958032727
100.0,0.541795254,0.400120467,-0.55638653,0.999946415,0.554113388,0.392629176,-0.539003313,0.999840677,0.560317278,0.392917782,-0.538996756,0.999838173,0.566725,0.393258244,-0.539020419,0.999843657,0.541994929,0.39149335,-0.530862391,0.999834,0.539462,0.390899777,-0.530917406,0.999820292,0.537513793,0.390347332,-0.531006098,0.999825656,0.582434297,0.396824926,-0.378137052,0.9996382,0.541662037,0.393129796,-0.345021516,0.999592423,0.551736474,0.409891427,-0.491664022,0.9999336,0.536884189,0.408844829,-0.482230514,0.999930561,0.629391313,0.444179893,-0.24380219,0.999914169,0.500272632,0.438974947,-0.200762749,0.999894798,0.632811069,0.504211128,-0.173241049,0.980648637,0.483247936,0.499396056,-0.141604751,0.956682622,0.582618475,0.55176425,-0.303859204,0.965936124,0.51734072,0.549147725,-0.291349739,0.934316695,0.56612885,0.569402754,-0.355157644,0.933584929,0.528765857,0.566779256,-0.342060924,0.89051187,0.556767821,0.564247966,-0.400218815,0.935959041,0.538438201,0.563383281,-0.38081935,0.891138732,0.558716297,0.558173895,-0.322892278,0.912790954,0.53554678,0.556990445,-0.308306515,0.86146009,0.591202497,0.557700336,-0.0144473407,0.999381244,0.51815629,0.554237902,0.0143337939,0.999328911,0.585686743,0.650581419,-0.0196556579,0.962299943,0.52573669,0.643809617,0.0170032512,0.964725792,0.570143759,0.740993321,0.160934612,0.974001467,0.537169755,0.737969398,0.199935511,0.968483746,0.562806547,0.751140177,0.166933626,0.849734783,0.53843832,0.748904288,0.207207218,0.781349242,0.576235592,0.772449911,-0.0386116803,0.96497637,0.536027908,0.771379113,0.0151724834,0.957949638
120.0,0.541888,0.40012151,-0.553556681,0.999949157,0.554241598,0.392605424,-0.535990596,0.999848247,0.56045723,0.392895848,-0.535976,0.999845922,0.566820681,0.393233985,-0.535992682,0.99985081,0.542067,0.391420186,-0.530243278,0.999842346,0.539545238,0.390811145,-0.530305088,0.999829292,0.537604511,0.390253156,-0.530376434,0.99983412,0.582438052,0.396787673,-0.374568611,0.999656379,0.541658342,0.393033803,-0.342341065,0.999615848,0.551818192,0.409880161,-0.488426596,0.9999367,0.536932111,0.408758134,-0.481829166,0.99993372,0.629266739,0.444180042,-0.23869352,0.999916613,0.500105143,0.438881874,-0.198677123,0.999898374,0.632799447,0.504132032,-0.167066097,0.980630696,0.483114123,0.49933669,-0.139634356,0.957645178,0.582697213,0.551476717,-0.299743712,0.965745568,0.517250597,0.549194872,-0.291241497,0.934920132,0.566155195,0.569260955,-0.351665795,0.933330595,0.528763831,0.566831887,-0.341806054,0.891085744,0.556943297,0.564155161,-0.396432549,0.935696483,0.538380325,0.563424,-0.380431086,0.891736,0.558927655,0.557985067,-0.318666339,0.912606776,0.535492718,0.557034135,-0.307952881,0.862597048,0.591155887,0.55771,-0.0142593188,0.999377787,0.518160939,0.554240346,0.0141454143,0.999334931,0.585705876,0.650636733,-0.0189418197,0.962823749,0.52573514,0.643805563,0.0161667559,0.964665949,0.569869459,0.740992367,0.162579522,0.974087,0.537345707,0.73796916,0.199998856,0.968403578,0.562489808,0.751142919,0.168830737,0.848239958,0.538539231,0.748838603,0.207424954,0.781299889,0.576226115,0.772446215,-0.0367885716,0.96484226,0.536062062,0.771378517,0.014985987,0.957887888
140.0,0.541898906,0.400110573,-0.558040917,0.999950945,0.554259241,0.392579466,-0.540828764,0.999852538,0.560482919,0.39287743,-0.540824831,0.999850452,0.566833138,0.39321813,-0.540849447,0.999854743,0.542068422,0.391312271,-0.535254776,0.99984771,0.539550126,0.390685618,-0.535325527,0.999835193,0.537606239,0.390113652,-0.535398126,0.999839544,0.582433045,0.396751046,-0.37946856,0.999666572,0.541550636,0.392850578,-0.353395104,0.999632597,0.551818728,0.409846276,-0.492976099,0.99993825,0.536931753,0.408607,-0.486344218,0.999935448,0.629212201,0.44417128,-0.242953181,0.999916852,0.49956423,0.438757598,-0.210570127,0.999900758,0.632552624,0.504054,-0.175770715,0.980417252,0.482970506,0.499335229,-0.151290819,0.958691478,0.582733,0.551370502,-0.313130409,0.965062916,0.517196894,0.549225748,-0.29749006,0.935655177,0.566160083,0.569214702,-0.366239041,0.932268679,0.528763115,0.566883147,-0.349102646,0.891848505,0.557000518,0.564118564,-0.411190838,0.934657514,0.538374424,0.563448131,-0.387544811,0.892531753,0.558989942,0.557906806,-0.332294345,0.911457419,0.535449088,0.557060957,-0.314179301,0.863882959,0.591088951,0.557706833,-0.0141120246,0.999358654,0.518149,0.554230273,0.013998636,0.999329865,0.585730195,0.650637507,-0.0165299177,0.963095725,0.525740564,0.643815219,0.0171049275,0.964306056,0.569871545,0.740968823,0.163609594,0.973978043,0.537587106,0.738002419,0.200287551,0.968026817,0.562489,0.751124561,0.170078099,0.846048117,0.538691342,0.748852,0.207815394,0.780111313,0.576283574,0.77239573,-0.0357159562,0.964455664,0.536287248,0.771383584,0.0147724366,0.957408071
160.0,0.541939855,0.40009737,-0.557109535,0.999953151,0.554330647,0.392546296,-0.539618,0.999858558,0.560563743,0.392846286,-0.539618731,0.999856651,0.566888332,0.393188596,-0.53964591,0.999860406,0.542084694,0.391239047,-0.534321606,0.999854386,0.539567649,0.390603423,-0.534392476,0.999842465,0.53761673,0.390025705,-0.534460664,0.99984628,0.58242476,0.396733,-0.377398491,0.999680877,0.541445196,0.392754585,-0.353778332,0.999651551,0.551837802,0.409816563,-0.491756856,0.999940634,0.53693372,0.408490449,-0.48543182,0.999937892,0.629002571,0.444165379,-0.241554514,0.99991864,0.498653114,0.438736856,-0.210834965,0.999903083,0.632342279,0.503946483,-0.175546572,0.980499,0.482934624,0.499393642,-0.151412383,0.959742069,0.582774818,0.551299036,-0.315372556,0.96512264,0.517168283,0.549245775,-0.298304081,0.936558664,0.566204488,0.569133818,-0.369366407,0.932398,0.528761804,0.566920877,-0.350750148,0.892949343,0.557076097,0.564056933,-0.414299339,0.934773684,0.538371265,0.563469708,-0.389336377,0.893669,0.559081912,0.557816386,-0.334564507,0.91169709,0.535431445,0.557089806,-0.315110326,0.865514457,0.590789139,0.557697952,-0.0140644656,0.999349654,0.51803112,0.554219127,0.013949261,0.999328852,0.585711122,0.650638163,-0.0170294624,0.963405788,0.525733113,0.643880963,0.0165729914,0.963974,0.569872916,0.740967095,0.16362986,0.973880291,0.537591875,0.738012671,0.199563324,0.96764183,0.562487066,0.751124084,0.169747144,0.844434261,0.538674295,0.748854697,0.206943035,0.778912425,0.576475799,0.772398412,-0.0365565903,0.96412158,0.536364198,0.771387756,0.012947659,0.956906319
180.0,0.541915,0.400033027,-0.556288898,0.999955118,0.554314852,0.392415017,-0.538766444,0.999864042,0.560543656,0.392723262,-0.53877,0.999862194,0.566851258,0.393068641,-0.53880012,0.999865472,0.542051,0.391082942,-0.533272445,0.999860525,0.539551139,0.390459716,-0.533341229,0.999849141,0.537585378,0.389887899,-0.533405304,0.999852538,0.582305074,0.396668613,-0.376212478,0.999694467,0.541261077,0.392589957,-0.352190435,0.999668539,0.551747561,0.409729511,-0.490826249,0.99994272,0.53687495,0.408321828,-0.484278977,0.999940097,0.628585398,0.444166332,-0.241767287,0.999919951,0.496771961,0.438740075,-0.207804412,0.999904931,0.631858945,0.503820539,-0.176357314,0.980469882,0.482916325,0.499444425,-0.148686141,0.960185111,0.583034635,0.551108301,-0.316287935,0.964647,0.517064035,0.549230397,-0.296295494,0.936608136,0.566442311,0.569018364,-0.37060234,0.931688786,0.528714657,0.566919327,-0.348607451,0.892937362,0.557394624,0.563942492,-0.41520232,0.93407017,0.538307667,0.563479066,-0.387587667,0.893728793,0.559457958,0.557651877,-0.335365474,0.910893142,0.535313785,0.55710727,-0.313310742,0.865909815,0.590630829,0.557697237,-0.0157060679,0.99933815,0.517821133,0.554216683,0.0156115517,0.999323308,0.585692167,0.650783956,-0.0190393664,0.96402353,0.525629103,0.644104958,0.0185166597,0.963808596,0.56987381,0.741000831,0.159460589,0.974065959,0.537681878,0.73813504,0.19993186,0.967664063,0.562516809,0.751200259,0.165000781,0.844289601,0.538856745,0.749003172,0.207032934,0.78056556,0.576484144,0.772438586,-0.0418197811,0.964200854,0.536373198,0.771446288,0.0129858758,0.956858039
