time,X_NOSE,Y_NOSE,Z_NOSE,X_LEFT_EYE_INNER,Y_LEFT_EYE_INNER,Z_LEFT_EYE_INNER,X_LEFT_EYE,Y_LEFT_EYE,Z_LEFT_EYE,X_LEFT_EYE_OUTER,Y_LEFT_EYE_OUTER,Z_LEFT_EYE_OUTER,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,X_RIGHT_EYE,Y_RIGHT_EYE,Z_RIGHT_EYE,X_RIGHT_EYE_OUTER.1,Y_RIGHT_EYE_OUTER.1,Z_RIGHT_EYE_OUTER.1,X_LEFT_EAR,Y_LEFT_EAR,Z_LEFT_EAR,X_RIGHT_EAR,Y_RIGHT_EAR,Z_RIGHT_EAR,X_MOUTH_LEFT,Y_MOUTH_LEFT,Z_MOUTH_LEFT,X_MOUTH_RIGHT,Y_MOUTH_RIGHT,Z_MOUTH_RIGHT,X_LEFT_SHOULDER,Y_LEFT_SHOULDER,Z_LEFT_SHOULDER,X_RIGHT_SHOULDER,Y_RIGHT_SHOULDER,Z_RIGHT_SHOULDER,X_LEFT_ELBOW,Y_LEFT_ELBOW,Z_LEFT_ELBOW,X_RIGHT_ELBOW,Y_RIGHT_ELBOW,Z_RIGHT_ELBOW,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,X_LEFT_PINKY,Y_LEFT_PINKY,Z_LEFT_PINKY,X_RIGHT_PINKY,Y_RIGHT_PINKY,Z_RIGHT_PINKY,X_LEFT_INDEX,Y_LEFT_INDEX,Z_LEFT_INDEX,X_RIGHT_INDEX,Y_RIGHT_INDEX,Z_RIGHT_INDEX,X_LEFT_THUMB,Y_LEFT_THUMB,Z_LEFT_THUMB,X_RIGHT_THUMB,Y_RIGHT_THUMB,Z_RIGHT_THUMB,X_LEFT_HIP,Y_LEFT_HIP,Z_LEFT_HIP,X_RIGHT_HIP,Y_RIGHT_HIP,Z_RIGHT_HIP,X_LEFT_KNEE,Y_LEFT_KNEE,Z_LEFT_KNEE,X_RIGHT_KNEE,Y_RIGHT_KNEE,Z_RIGHT_KNEE,X_LEFT_ANKLE,Y_LEFT_ANKLE,Z_LEFT_ANKLE,X_RIGHT_ANKLE,Y_RIGHT_ANKLE,Z_RIGHT_ANKLE,X_LEFT_HEEL,Y_LEFT_HEEL,Z_LEFT_HEEL,X_RIGHT_HEEL,Y_RIGHT_HEEL,Z_RIGHT_HEEL,X_LEFT_FOOT_INDEX,Y_LEFT_FOOT_INDEX,Z_LEFT_FOOT_INDEX,X_RIGHT_FOOT_INDEX,Y_RIGHT_FOOT_INDEX,Z_RIGHT_FOOT_INDEX,fileID,participantID,LEFT_EAR_speed2D,LEFT_EYE_OUTER_speed2D,NOSE_speed2D,RIGHT_SHOULDER_speed2D,RIGHT_HIP_speed2D,RIGHT_KNEE_speed2D,RIGHT_ANKLE_speed2D,RIGHT_EYE_OUTER_speed2D,LEFT_PINKY_speed2D,RIGHT_WRIST_speed2D,RIGHT_EYE_speed2D,LEFT_ELBOW_speed2D,RIGHT_INDEX_speed2D,LEFT_WRIST_speed2D,LEFT_EYE_INNER_speed2D,LEFT_THUMB_speed2D,RIGHT_ELBOW_speed2D,RIGHT_EYE_OUTER.1_speed2D,LEFT_HIP_speed2D,LEFT_INDEX_speed2D,RIGHT_THUMB_speed2D,LEFT_ANKLE_speed2D,LEFT_HEEL_speed2D,LEFT_SHOULDER_speed2D,LEFT_FOOT_INDEX_speed2D,RIGHT_EAR_speed2D,RIGHT_HEEL_speed2D,LEFT_EYE_speed2D,MOUTH_RIGHT_speed2D,LEFT_KNEE_speed2D,RIGHT_FOOT_INDEX_speed2D,RIGHT_PINKY_speed2D,MOUTH_LEFT_speed2D,Y_NOSE_velocity,Y_LEFT_EYE_INNER_velocity,Y_LEFT_EYE_velocity,Y_LEFT_EYE_OUTER_velocity,Y_RIGHT_EYE_OUTER_velocity,Y_RIGHT_EYE_velocity,Y_RIGHT_EYE_OUTER.1_velocity,Y_LEFT_EAR_velocity,Y_RIGHT_EAR_velocity,Y_MOUTH_LEFT_velocity,Y_MOUTH_RIGHT_velocity,Y_LEFT_SHOULDER_velocity,Y_RIGHT_SHOULDER_velocity,Y_LEFT_ELBOW_velocity,Y_RIGHT_ELBOW_velocity,Y_LEFT_WRIST_velocity,Y_RIGHT_WRIST_velocity,Y_LEFT_PINKY_velocity,Y_RIGHT_PINKY_velocity,Y_LEFT_INDEX_velocity,Y_RIGHT_INDEX_velocity,Y_LEFT_THUMB_velocity,Y_RIGHT_THUMB_velocity,Y_LEFT_HIP_velocity,Y_RIGHT_HIP_velocity,Y_LEFT_KNEE_velocity,Y_RIGHT_KNEE_velocity,Y_LEFT_ANKLE_velocity,Y_RIGHT_ANKLE_velocity,Y_LEFT_HEEL_velocity,Y_RIGHT_HEEL_velocity,Y_LEFT_FOOT_INDEX_velocity,Y_RIGHT_FOOT_INDEX_velocity,LEFT_EAR_acceleration2D,LEFT_EYE_OUTER_acceleration2D,NOSE_acceleration2D,RIGHT_SHOULDER_acceleration2D,RIGHT_HIP_acceleration2D,RIGHT_KNEE_acceleration2D,RIGHT_ANKLE_acceleration2D,RIGHT_EYE_OUTER_acceleration2D,LEFT_PINKY_acceleration2D,RIGHT_WRIST_acceleration2D,RIGHT_EYE_acceleration2D,LEFT_ELBOW_acceleration2D,RIGHT_INDEX_acceleration2D,LEFT_WRIST_acceleration2D,LEFT_EYE_INNER_acceleration2D,LEFT_THUMB_acceleration2D,RIGHT_ELBOW_acceleration2D,RIGHT_EYE_OUTER.1_acceleration2D,LEFT_HIP_acceleration2D,LEFT_INDEX_acceleration2D,RIGHT_THUMB_acceleration2D,LEFT_ANKLE_acceleration2D,LEFT_HEEL_acceleration2D,LEFT_SHOULDER_acceleration2D,LEFT_FOOT_INDEX_acceleration2D,RIGHT_EAR_acceleration2D,RIGHT_HEEL_acceleration2D,LEFT_EYE_acceleration2D,MOUTH_RIGHT_acceleration2D,LEFT_KNEE_acceleration2D,RIGHT_FOOT_INDEX_acceleration2D,RIGHT_PINKY_acceleration2D,MOUTH_LEFT_acceleration2D,LEFT_EAR_jerk2D,LEFT_EYE_OUTER_jerk2D,NOSE_jerk2D,RIGHT_SHOULDER_jerk2D,RIGHT_HIP_jerk2D,RIGHT_KNEE_jerk2D,RIGHT_ANKLE_jerk2D,RIGHT_EYE_OUTER_jerk2D,LEFT_PINKY_jerk2D,RIGHT_WRIST_jerk2D,RIGHT_EYE_jerk2D,LEFT_ELBOW_jerk2D,RIGHT_INDEX_jerk2D,LEFT_WRIST_jerk2D,LEFT_EYE_INNER_jerk2D,LEFT_THUMB_jerk2D,RIGHT_ELBOW_jerk2D,RIGHT_EYE_OUTER.1_jerk2D,LEFT_HIP_jerk2D,LEFT_INDEX_jerk2D,RIGHT_THUMB_jerk2D,LEFT_ANKLE_jerk2D,LEFT_HEEL_jerk2D,LEFT_SHOULDER_jerk2D,LEFT_FOOT_INDEX_jerk2D,RIGHT_EAR_jerk2D,RIGHT_HEEL_jerk2D,LEFT_EYE_jerk2D,MOUTH_RIGHT_jerk2D,LEFT_KNEE_jerk2D,RIGHT_FOOT_INDEX_jerk2D,RIGHT_PINKY_jerk2D,MOUTH_LEFT_jerk2D,arms,upper_body,lower_body,head_mov
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no movement,no movement,no movement,no movement
16.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no movement,no movement,no movement,no movement
33.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no movement,no movement,no movement,no movement
50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no movement,no movement,no movement,no movement
66.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no movement,no movement,no movement,no movement
83.33333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no movement,no movement,no movement,no movement
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no movement,no movement,no movement,no movement
116.66666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no movement,no movement,no movement,no movement
133.33333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no movement,no movement,no movement,no movement
150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no movement,no movement,no movement,no movement
166.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no movement,no movement,no movement,no movement
183.33333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no movement,no movement,no movement,no movement
199.99999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kalt_g_ch1_g0_compr.mp4,ch1g0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no movement,no movement,no movement,no movement
